name;year;mileage;fuel;capacity;gearbox;price;currency
Mercedes Benz GLC-klasse Coupé 220 d 4MATIC AMG Night pakket Head Up 360 camera Schuifdak;2016;88667 km;Diesel;2,143 cc;Automatic;37800,00;EUR
Audi SQ8 4.0 TDI quattro Panoramadak B&O Sound Direct / Lager;2019;3256 km;Diesel;3,956 cc;Automatic;86900,00;EUR
Ford Mondeo 2.0-16V Limited;2010;127544 km;Petrol;1,999 cc;Manual;7750,00;EUR
Peugeot 207 1.4 VTi Access;2011;86968 km;Petrol;1,397 cc;Manual;5549,00;EUR
Peugeot 107 1.0-12V Urban Move;2010;72427 km;Petrol;998 cc;Manual;4649,00;EUR
Volvo V70 2.4 D Geartronic;2004;481469 km;Diesel;2,401 cc;Automatic;1050,00;EUR
Ford Ka 1.2 Titanium;2010;115809 km;Petrol;1,242 cc;Manual;3499,00;EUR
Ford KA KA 3 deurs handgeschakeld;2007;149210 km;Petrol;1,299 cc;Manual;999,00;EUR
Mercedes Benz ROLSTOELBUS VITO 109 CDI;2006;130709 km;Diesel;2,148 cc;Manual;9950,00;EUR
Land Rover RANGE ROVER SPORT SE LEER NAVIGATIE TREKHAAK;2006;225134 km;Diesel;2,720 cc;Automatic;9950,00;EUR
Bentley Continental GT YOUNGTIMER *ORIGINEEL NEDERLANSE AUTO*;2004;91097 km;Petrol;5,998 cc;Automatic;36850,00;EUR
Audi A4 Sedan 2.5 TDI Pro-Line Automaat;2005;434721 km;Diesel;2,496 cc;Automatic;2950,00;EUR
Volvo S60 R - S60 2.4 - 120kW;2007;392000 km;Diesel;2,400 cc;Automatic;2900,00;EUR
Volkswagen Transporter T6.1 2.0 TDI 150 PK DSG L2H1 CARAVELLE EURO 6 D-TEMP CRUISE ...;2020;3 km;Diesel;1,968 cc;Automatic;44500,00;EUR
Peugeot 206 1.6-16V Gentry;2001;182302 km;Petrol;1,587 cc;Manual;1299,00;EUR
Honda Civic Sedan 1.3 HYBRID Aut. Airco;2007;221935 km;Hybrid;1,339 cc;Automatic;3200,00;EUR
Skoda Octavia Combi 1.0 TSI Greentech Ambition Business;2018;29202 km;Petrol;999 cc;Automatic;23600,00;EUR
Toyota RAV 4 (4WD) AUTOMATIC 2.4 VVT-I   4WD AUT.;2012;49663 km;Diesel;2,399 cc;Automatic;8700,00;EUR
Mercedes Benz GLE € 34.350,- ex btw| Automaat | Trekhaak | Navigatie | Panorama Dak | ...;2016;99983 km;Diesel;2,143 cc;Automatic;34350,00;EUR
Opel Corsa 1.2 16V , Airco;2000;194528 km;Petrol;1,199 cc;Manual;950,00;EUR
