name;year;mileage;engine_power_kW;engine_power_hp;fuel;consumption;ecology;gearbox;price;currency
Volvo 850;1996;325000 km;125 kW ;170 hp;Gasoline;-/- (l/100 km);-/- (CO2/km);Manual;1500,00;EUR
Opel Meriva;2006;125011 km;66 kW ;90 hp;Gasoline;6.2 l/100 km ;147 g CO2/km ;Manual;1500,00;EUR
Volkswagen Golf;2002;180965 km;55 kW ;75 hp;Gasoline;6.8 l/100 km ;163 g CO2/km ;Manual;1580,00;EUR
Toyota Corolla Verso;2005;316207 km;66 kW ;90 hp;Diesel;6.2 l/100 km ;164 g CO2/km ;Manual;1590,00;EUR
Mercedes-Benz A 160;2001;200000 km;75 kW ;102 hp;Gasoline;7.2 l/100 km ;172 g CO2/km ;Semi-automatic;1600,00;EUR
Opel Astra;2005;130200 km;66 kW ;90 hp;Gasoline;6.3 l/100 km ;149 g CO2/km ;Manual;1650,00;EUR
Volkswagen Jetta;1987;135000 km;66 kW ;90 hp;Gasoline;-/- (l/100 km);-/- (CO2/km);Manual;1690,00;EUR
Volkswagen Touran;2003;243000 km;74 kW ;101 hp;Diesel;5.9 l/100 km ;156 g CO2/km ;Manual;1699,00;EUR
Opel Astra;1999;178744 km;48 kW ;65 hp;Gasoline;-/- (l/100 km);-/- (CO2/km);Manual;1699,00;EUR
Ford Fiesta;2001;103000 km;44 kW ;60 hp;Gasoline;7.5 l/100 km ;175 g CO2/km ;Manual;1699,00;EUR
Opel Vectra;2005;217500 km;110 kW ;150 hp;Diesel;7 l/100 km ;189 g CO2/km ;Automatic;1700,00;EUR
Mercedes-Benz E 200;1999;303000 km;100 kW ;136 hp;Gasoline;9.6 l/100 km ;228 g CO2/km ;Automatic;1750,00;EUR
Opel Astra;1999;198900 km;74 kW ;101 hp;Gasoline;7.1 l/100 km ;171 g CO2/km ;Automatic;1750,00;EUR
Ford Focus;2009;250000 km;66 kW ;90 hp;Diesel;4.5 l/100 km ;119 g CO2/km ;Manual;1750,00;EUR
Land Rover Range Rover;1998;436244 km;100 kW ;136 hp;Diesel;10.3 l/100 km ;-/- (CO2/km);Manual;1790,00;EUR
Peugeot 406;1998;199000 km;97 kW ;132 hp;LPG;-/- (l/100 km);-/- (CO2/km);Automatic;1799,00;EUR
Renault Laguna;2001;219000 km;152 kW ;207 hp;Gasoline;10.1 l/100 km ;240 g CO2/km ;Manual;1800,00;EUR
Opel Astra;2005;181248 km;74 kW ;101 hp;Diesel;5 l/100 km ;135 g CO2/km ;Manual;1840,00;EUR
Toyota Corolla Verso;2006;258000 km;100 kW ;136 hp;Diesel;6.4 l/100 km ;170 g CO2/km ;Manual;1850,00;EUR
Chevrolet Matiz;2009;70000 km;38 kW ;52 hp;Gasoline;5.2 l/100 km ;127 g CO2/km ;Manual;1875,00;EUR
Peugeot 307;2003;207320 km;80 kW ;109 hp;Gasoline;7.7 l/100 km ;178 g CO2/km ;Manual;1890,00;EUR
Ford Ka/Ka+;2002;52000 km;44 kW ;60 hp;Gasoline;6.8 l/100 km ;165 g CO2/km ;Manual;1899,00;EUR
Peugeot 207;2009;209204 km;66 kW ;90 hp;Diesel;-/- (l/100 km);120 g CO2/km ;Manual;1900,00;EUR
smart forTwo;2005;150000 km;30 kW ;41 hp;Diesel;3.8 l/100 km ;101 g CO2/km ;Automatic;1900,00;EUR
MINI One;2006;230000 km;66 kW ;90 hp;Gasoline;6.8 l/100 km ;164 g CO2/km ;Manual;1900,00;EUR
Mercedes-Benz C 220;2003;408000 km;110 kW ;150 hp;Diesel;7.3 l/100 km ;194 g CO2/km ;Automatic;1950,00;EUR
Ford Fiesta;2012;260000 km;51 kW ;69 hp;Diesel;-/- (l/100 km);-/- (CO2/km);Manual;1980,00;EUR
Renault Twingo;1999;86600 km;43 kW ;58 hp;Gasoline;7 l/100 km ;166 g CO2/km ;Automatic;1980,00;EUR
Ford Streetka;2003;180000 km;70 kW ;95 hp;Gasoline;7.9 l/100 km ;189 g CO2/km ;Manual;1990,00;EUR
Volkswagen Golf;2001;199894 km;85 kW ;116 hp;Diesel;-/- (l/100 km);-/- (CO2/km);Automatic;1990,00;EUR
Opel Astra;2004;146200 km;74 kW ;101 hp;Gasoline;8.4 l/100 km ;202 g CO2/km ;Automatic;1990,00;EUR
Ford Focus;2007;165000 km;80 kW ;109 hp;Diesel;4.8 l/100 km ;127 g CO2/km ;Manual;1990,00;EUR
Mitsubishi Carisma;1997;110000 km;66 kW ;90 hp;Gasoline;-/- (l/100 km);-/- (CO2/km);Automatic;1990,00;EUR
Mercedes-Benz C 320;2002;337000 km;160 kW ;218 hp;LPG;11.5 l/100 km ;273 g CO2/km ;Automatic;1995,00;EUR
Peugeot 206;2004;90000 km;44 kW ;60 hp;Gasoline;6.3 l/100 km ;149 g CO2/km ;Manual;1999,00;EUR
Volkswagen Caddy;2005;330000 km;77 kW ;105 hp;Diesel;6.1 l/100 km ;167 g CO2/km ;Manual;1999,00;EUR
Mercedes-Benz CLK 200;2000;214000 km;100 kW ;136 hp;Gasoline;9.4 l/100 km ;222 g CO2/km ;Automatic;1999,00;EUR
Citroen C2;2007;100000 km;44 kW ;60 hp;Gasoline;6 l/100 km ;143 g CO2/km ;Manual;1999,00;EUR
Audi A3;1999;250000 km;74 kW ;101 hp;Gasoline;8.7 l/100 km ;209 g CO2/km ;Automatic;1999,00;EUR
BMW 520;2001;249000 km;125 kW ;170 hp;Gasoline;9.5 l/100 km ;228 g CO2/km ;Manual;1999,00;EUR
BMW 318;2002;210000 km;105 kW ;143 hp;Gasoline;7.6 l/100 km ;185 g CO2/km ;Manual;1999,00;EUR
Hyundai i30;2008;217300 km;66 kW ;90 hp;Diesel;5 l/100 km ;128 g CO2/km ;Manual;2000,00;EUR
Volkswagen Polo;2005;160000 km;40 kW ;54 hp;Gasoline;5.8 l/100 km ;139 g CO2/km ;Manual;2000,00;EUR
Opel Vectra;2003;72900 km;90 kW ;122 hp;Gasoline;7.9 l/100 km ;190 g CO2/km ;Manual;2100,00;EUR
Dacia Sandero;2009;159000 km;55 kW ;75 hp;Gasoline;7 l/100 km ;166 g CO2/km ;Manual;2190,00;EUR
Toyota Aygo;2010;204000 km;50 kW ;68 hp;Gasoline;4.6 l/100 km ;106 g CO2/km ;Manual;2200,00;EUR
Ford Fiesta;2008;158225 km;59 kW ;80 hp;Gasoline;6.2 l/100 km ;147 g CO2/km ;Manual;2280,00;EUR
Mercedes-Benz E 320;2001;310000 km;145 kW ;197 hp;Diesel;7.8 l/100 km ;207 g CO2/km ;Automatic;2280,00;EUR
Peugeot 307;2006;239887 km;66 kW ;90 hp;Diesel;5.1 l/100 km ;134 g CO2/km ;Manual;2290,00;EUR
Ford Transit Connect;2007;258200 km;55 kW ;75 hp;Diesel;-/- (l/100 km);166 g CO2/km ;Manual;2380,00;EUR
Volkswagen Golf;2008;265900 km;66 kW ;90 hp;Diesel;5.3 l/100 km ;140 g CO2/km ;Manual;2400,00;EUR
Mazda Tribute;2002;188500 km;91 kW ;124 hp;Gasoline;9.7 l/100 km ;230 g CO2/km ;Manual;2400,00;EUR
Renault Megane;2005;220031 km;99 kW ;135 hp;Gasoline;8.2 l/100 km ;196 g CO2/km ;Manual;2400,00;EUR
Renault Kangoo;1999;122171 km;47 kW ;64 hp;Diesel;7.5 l/100 km ;177 g CO2/km ;Manual;2449,00;EUR
Volkswagen Polo;2005;177000 km;40 kW ;54 hp;Gasoline;5.8 l/100 km ;139 g CO2/km ;Manual;2450,00;EUR
Audi A2;2001;171000 km;55 kW ;75 hp;Diesel;4.3 l/100 km ;116 g CO2/km ;Manual;2450,00;EUR
Volkswagen Touran;2003;208965 km;85 kW ;116 hp;Gasoline;7.4 l/100 km ;175 g CO2/km ;Manual;2450,00;EUR
Audi A6;2006;404000 km;132 kW ;179 hp;Diesel;-/- (l/100 km);-/- (CO2/km);Automatic;2490,00;EUR
Fiat Grande Punto;2008;143266 km;57 kW ;77 hp;Gasoline;5.9 l/100 km ;139 g CO2/km ;Manual;2490,00;EUR
Mazda 2;2008;196779 km;55 kW ;75 hp;Gasoline;5.4 l/100 km ;129 g CO2/km ;Manual;2490,00;EUR
Volkswagen Golf;2000;113980 km;55 kW ;75 hp;Gasoline;6.8 l/100 km ;163 g CO2/km ;Manual;2490,00;EUR
Chevrolet Nubira;2007;206050 km;80 kW ;109 hp;LPG;-/- (l/100 km);181 g CO2/km ;Manual;2490,00;EUR
Volvo C70;2001;193689 km;120 kW ;163 hp;LPG;10.6 l/100 km ;253 g CO2/km ;Automatic;2490,00;EUR
Nissan Micra;2005;126381 km;59 kW ;80 hp;Gasoline;5.9 l/100 km ;143 g CO2/km ;Manual;2490,00;EUR
Suzuki Grand Vitara;2005;264000 km;80 kW ;109 hp;Diesel;7.3 l/100 km ;198 g CO2/km ;Manual;2490,00;EUR
Citroen C8;2006;177853 km;80 kW ;109 hp;Diesel;7 l/100 km ;186 g CO2/km ;Manual;2490,00;EUR
Volkswagen Fox;2006;107300 km;40 kW ;54 hp;Gasoline;6.2 l/100 km ;148 g CO2/km ;Manual;2490,00;EUR
Kia Sportage;2005;198400 km;83 kW ;113 hp;Diesel;-/- (l/100 km);-/- (CO2/km);Manual;2490,00;EUR
Citroen C3;2010;168000 km;44 kW ;60 hp;Gasoline;6 l/100 km ;137 g CO2/km ;Manual;2499,00;EUR
Hyundai i10;2010;144000 km;49 kW ;67 hp;Gasoline;5.2 l/100 km ;124 g CO2/km ;Manual;2499,00;EUR
Volkswagen Golf;2000;163000 km;55 kW ;75 hp;Gasoline;7 l/100 km ;168 g CO2/km ;Manual;2499,00;EUR
Renault Laguna;2007;200000 km;96 kW ;131 hp;Diesel;6 l/100 km ;159 g CO2/km ;Manual;2499,00;EUR
Ford Fiesta;2006;63000 km;44 kW ;60 hp;Gasoline;5.9 l/100 km ;140 g CO2/km ;Manual;2499,00;EUR
Mercedes-Benz C 200;2001;134764 km;120 kW ;163 hp;Gasoline;9.5 l/100 km ;227 g CO2/km ;Automatic;2500,00;EUR
Mercedes-Benz A 180;2009;213700 km;80 kW ;109 hp;Diesel;6.1 l/100 km ;159 g CO2/km ;Automatic;2650,00;EUR
MINI One;2010;82000 km;55 kW ;75 hp;Gasoline;5.3 l/100 km ;128 g CO2/km ;Manual;2650,00;EUR
Audi A4;2005;216640 km;85 kW ;116 hp;Diesel;5.6 l/100 km ;151 g CO2/km ;Manual;2690,00;EUR
Opel Corsa;2009;45000 km;59 kW ;80 hp;Gasoline;5.7 l/100 km ;137 g CO2/km ;Manual;2750,00;EUR
Volkswagen Jetta;2007;300000 km;103 kW ;140 hp;Diesel;4.9 l/100 km ;148 g CO2/km ;Manual;2777,00;EUR
Skoda Octavia;2007;196935 km;77 kW ;105 hp;Diesel;5.4 l/100 km ;143 g CO2/km ;Manual;2790,00;EUR
Ford Fiesta;2008;80000 km;44 kW ;60 hp;Gasoline;6.5 l/100 km ;154 g CO2/km ;Manual;2799,00;EUR
Honda Accord;2006;239000 km;103 kW ;140 hp;Diesel;5.9 l/100 km ;155 g CO2/km ;Manual;2800,00;EUR
Peugeot 207;2007;122323 km;54 kW ;73 hp;Gasoline;6.3 l/100 km ;150 g CO2/km ;Manual;2800,00;EUR
Citroen C2;2004;91000 km;80 kW ;109 hp;Gasoline;6.3 l/100 km ;151 g CO2/km ;Automatic;2850,00;EUR
Ford Focus;2007;123500 km;74 kW ;101 hp;Gasoline;6.7 l/100 km ;161 g CO2/km ;Manual;2875,00;EUR
Skoda Octavia;2004;87800 km;75 kW ;102 hp;Gasoline;7.3 l/100 km ;175 g CO2/km ;Manual;2885,00;EUR
Volkswagen Polo;2007;99800 km;51 kW ;69 hp;Gasoline;-/- (l/100 km);-/- (CO2/km);Manual;2890,00;EUR
Peugeot 206;2009;105997 km;44 kW ;60 hp;Gasoline;5.7 l/100 km ;135 g CO2/km ;Manual;2890,00;EUR
Citroen Nemo;2012;155000 km;55 kW ;75 hp;Diesel;4.1 l/100 km ;119 g CO2/km ;Manual;2890,00;EUR
Dacia Logan;2010;137755 km;64 kW ;87 hp;Gasoline;7.8 l/100 km ;185 g CO2/km ;Manual;2890,00;EUR
Dacia Sandero;2011;180858 km;63 kW ;86 hp;Diesel;4.4 l/100 km ;115 g CO2/km ;Manual;2900,00;EUR
Mercedes-Benz E 240;2003;173000 km;130 kW ;177 hp;Gasoline;10.9 l/100 km ;262 g CO2/km ;Manual;3299,00;EUR
Honda Civic;2008;205681 km;61 kW ;83 hp;Gasoline;5.9 l/100 km ;139 g CO2/km ;Manual;3300,00;EUR
Hyundai Getz;2008;110000 km;49 kW ;67 hp;Gasoline;5.5 l/100 km ;130 g CO2/km ;Manual;3329,00;EUR
Ford Fusion;2007;148800 km;74 kW ;101 hp;Gasoline;6.6 l/100 km ;157 g CO2/km ;Manual;3366,00;EUR
BMW 525;2005;300000 km;130 kW ;177 hp;Diesel;9.5 l/100 km ;230 g CO2/km ;Automatic;3380,00;EUR
Skoda Fabia;2009;188818 km;63 kW ;86 hp;Gasoline;-/- (l/100 km);-/- (CO2/km);Manual;3390,00;EUR
Toyota Yaris;2002;72269 km;63 kW ;86 hp;Gasoline;6.6 l/100 km ;157 g CO2/km ;Automatic;3390,00;EUR
Nissan Pixo;2010;106202 km;50 kW ;68 hp;Gasoline;-/- (l/100 km);-/- (CO2/km);Manual;3399,00;EUR
Fiat Punto;2011;112850 km;51 kW ;69 hp;Gasoline;5.2 l/100 km ;123 g CO2/km ;Manual;3400,00;EUR
Ford Focus;2007;111000 km;80 kW ;109 hp;Diesel;4.8 l/100 km ;127 g CO2/km ;Manual;3400,00;EUR
Toyota Aygo;2011;131724 km;50 kW ;68 hp;Gasoline;4.6 l/100 km ;103 g CO2/km ;Manual;3400,00;EUR
Audi A4;1998;70100 km;121 kW ;165 hp;Gasoline;10 l/100 km ;240 g CO2/km ;Automatic;3480,00;EUR
Mercedes-Benz E 320;2005;334000 km;165 kW ;224 hp;Diesel;8.1 l/100 km ;202 g CO2/km ;Automatic;3490,00;EUR
Volvo S40;2004;147703 km;100 kW ;136 hp;Diesel;5.6 l/100 km ;148 g CO2/km ;Manual;3490,00;EUR
Mercedes-Benz Vario;1999;507792 km;112 kW ;152 hp;Diesel;-/- (l/100 km);-/- (CO2/km);Manual;3490,00;EUR
Suzuki Splash;2010;100923 km;63 kW ;86 hp;Gasoline;5.5 l/100 km ;131 g CO2/km ;Manual;3490,00;EUR
Kia Carens;2010;271085 km;85 kW ;116 hp;Diesel;6.3 l/100 km ;166 g CO2/km ;Manual;3490,00;EUR
Opel Astra;2005;120000 km;92 kW ;125 hp;Gasoline;8.6 l/100 km ;206 g CO2/km ;Automatic;3490,00;EUR
BMW 316;2004;180000 km;85 kW ;116 hp;Gasoline;6.9 l/100 km ;164 g CO2/km ;Manual;3490,00;EUR
Renault Laguna;2011;223000 km;81 kW ;110 hp;Diesel;5.3 l/100 km ;139 g CO2/km ;Manual;3499,00;EUR
Mercedes-Benz 190;1988;99000 km;75 kW ;102 hp;Gasoline;-/- (l/100 km);-/- (CO2/km);Automatic;3499,00;EUR
Skoda Fabia;2010;119900 km;63 kW ;86 hp;Gasoline;5.2 l/100 km ;123 g CO2/km ;Manual;3499,00;EUR
BMW 320;2008;226000 km;130 kW ;177 hp;Diesel;4.9 l/100 km ;131 g CO2/km ;Manual;3500,00;EUR
Mercedes-Benz E 240;2004;204098 km;130 kW ;177 hp;Gasoline;10.3 l/100 km ;247 g CO2/km ;Automatic;3500,00;EUR
Opel Corsa;2007;152000 km;59 kW ;80 hp;Gasoline;5.7 l/100 km ;137 g CO2/km ;Semi-automatic;3500,00;EUR
Mercedes-Benz E 230;1987;240400 km;97 kW ;132 hp;Gasoline;-/- (l/100 km);-/- (CO2/km);Automatic;3500,00;EUR
Skoda Fabia;2011;102571 km;44 kW ;60 hp;Gasoline;5.9 l/100 km ;140 g CO2/km ;Manual;3590,00;EUR
Hyundai Santa Fe;2007;173706 km;110 kW ;150 hp;Diesel;7.3 l/100 km ;193 g CO2/km ;Manual;3590,00;EUR
Mercedes-Benz SLK 200;2003;230000 km;120 kW ;163 hp;Gasoline;9.5 l/100 km ;228 g CO2/km ;Manual;3600,00;EUR
Volvo XC90;2004;350000 km;120 kW ;163 hp;Diesel;9.1 l/100 km ;242 g CO2/km ;Automatic;3600,00;EUR
Mazda 6;2002;180000 km;122 kW ;166 hp;Gasoline;9.1 l/100 km ;218 g CO2/km ;Manual;3600,00;EUR
Ford Fiesta;2010;63729 km;60 kW ;82 hp;Gasoline;5.7 l/100 km ;135 g CO2/km ;Manual;3645,00;EUR
Mitsubishi Colt;2011;117100 km;55 kW ;75 hp;Gasoline;4.9 l/100 km ;115 g CO2/km ;Manual;3677,00;EUR
Volkswagen Touran;2006;220000 km;125 kW ;170 hp;Diesel;6.6 l/100 km ;175 g CO2/km ;Automatic;3680,00;EUR
Opel Astra;2005;77000 km;66 kW ;90 hp;Gasoline;6.5 l/100 km ;156 g CO2/km ;Manual;3690,00;EUR
smart forTwo;2009;94500 km;62 kW ;84 hp;Gasoline;-/- (l/100 km);-/- (CO2/km);Automatic;3699,00;EUR
Volkswagen Sharan;2002;199876 km;85 kW ;116 hp;Diesel;6.6 l/100 km ;178 g CO2/km ;Manual;3699,00;EUR
BMW 318;2004;185000 km;105 kW ;143 hp;Gasoline;6.6 l/100 km ;154 g CO2/km ;Manual;3699,00;EUR
Fiat Grande Punto;2009;104610 km;57 kW ;77 hp;Gasoline;5.9 l/100 km ;139 g CO2/km ;Manual;3700,00;EUR
Ford Transit Connect;2007;122000 km;55 kW ;75 hp;Diesel;6.3 l/100 km ;171 g CO2/km ;Manual;3700,00;EUR
Audi A3;2007;245000 km;103 kW ;140 hp;Diesel;5.7 l/100 km ;154 g CO2/km ;Manual;3750,00;EUR
BMW X5;2001;250000 km;135 kW ;184 hp;Diesel;8.6 l/100 km ;228 g CO2/km ;Automatic;3750,00;EUR
Peugeot 207;2007;81750 km;110 kW ;150 hp;Gasoline;7.2 l/100 km ;171 g CO2/km ;Manual;3750,00;EUR
SEAT Leon;2007;163400 km;75 kW ;102 hp;Gasoline;7.6 l/100 km ;180 g CO2/km ;Manual;3780,00;EUR
Mercedes-Benz A 180;2005;105200 km;80 kW ;109 hp;Diesel;6.1 l/100 km ;159 g CO2/km ;Automatic;3790,00;EUR
Ford Ranger;2000;222100 km;62 kW ;84 hp;Diesel;-/- (l/100 km);-/- (CO2/km);Manual;3790,00;EUR
Renault Twingo;2013;129000 km;63 kW ;86 hp;Diesel;3.4 l/100 km ;90 g CO2/km ;Manual;3799,00;EUR
Audi A3;2004;122513 km;103 kW ;140 hp;Diesel;5.9 l/100 km ;159 g CO2/km ;Automatic;3845,00;EUR
Fiat Panda;2010;44500 km;40 kW ;54 hp;Gasoline;5.7 l/100 km ;135 g CO2/km ;Manual;3850,00;EUR
Volkswagen Golf;2005;161000 km;110 kW ;150 hp;Gasoline;7.2 l/100 km ;187 g CO2/km ;Manual;3850,00;EUR
Mazda 6;2003;96750 km;122 kW ;166 hp;Gasoline;9.1 l/100 km ;218 g CO2/km ;Manual;3850,00;EUR
Ford Fiesta;2009;98200 km;60 kW ;82 hp;Gasoline;5.7 l/100 km ;133 g CO2/km ;Manual;3872,00;EUR
Audi 100;1990;176000 km;66 kW ;90 hp;Gasoline;-/- (l/100 km);-/- (CO2/km);Automatic;3888,00;EUR
smart forTwo;2011;113000 km;52 kW ;71 hp;Gasoline;4.2 l/100 km ;97 g CO2/km ;Automatic;3900,00;EUR
Opel Astra;2001;130000 km;108 kW ;147 hp;Gasoline;8.7 l/100 km ;209 g CO2/km ;Manual;3900,00;EUR
Renault Twingo;2008;130945 km;56 kW ;76 hp;Gasoline;5.7 l/100 km ;135 g CO2/km ;Manual;3900,00;EUR
Ford S-Max;2010;232313 km;103 kW ;140 hp;Diesel;6 l/100 km ;159 g CO2/km ;Manual;3940,00;EUR
Renault Twingo;2010;123600 km;43 kW ;58 hp;Gasoline;-/- (l/100 km);-/- (CO2/km);Manual;3945,00;EUR
Peugeot 107;2011;76600 km;50 kW ;68 hp;Gasoline;4.5 l/100 km ;107 g CO2/km ;Manual;3950,00;EUR
Volvo 960;1997;295000 km;150 kW ;204 hp;Gasoline;-/- (l/100 km);-/- (CO2/km);Automatic;3950,00;EUR
SEAT Leon;2000;77000 km;92 kW ;125 hp;Gasoline;8.5 l/100 km ;204 g CO2/km ;Automatic;3950,00;EUR
Mercedes-Benz C 220;2002;99800 km;105 kW ;143 hp;Diesel;6.7 l/100 km ;178 g CO2/km ;Automatic;3950,00;EUR
Ford C-Max;2004;118166 km;92 kW ;125 hp;Gasoline;7.1 l/100 km ;172 g CO2/km ;Manual;3980,00;EUR
Opel Zafira;2007;210800 km;110 kW ;150 hp;Diesel;6.2 l/100 km ;165 g CO2/km ;Manual;3980,00;EUR
Volkswagen Golf;2004;165000 km;55 kW ;75 hp;Gasoline;7.1 l/100 km ;170 g CO2/km ;Manual;3980,00;EUR
Volkswagen Golf;2004;142000 km;75 kW ;102 hp;Gasoline;8.2 l/100 km ;195 g CO2/km ;Automatic;3990,00;EUR
Volkswagen Golf;2007;226000 km;147 kW ;200 hp;Gasoline;8.1 l/100 km ;189 g CO2/km ;Manual;3990,00;EUR
Chevrolet Cruze;2012;179564 km;120 kW ;163 hp;Diesel;5.4 l/100 km ;143 g CO2/km ;Manual;3990,00;EUR
Renault Megane;2005;85000 km;83 kW ;113 hp;Gasoline;7 l/100 km ;166 g CO2/km ;Manual;3990,00;EUR
Mazda CX-7;2010;207911 km;127 kW ;173 hp;Diesel;7.5 l/100 km ;199 g CO2/km ;Manual;3990,00;EUR
Peugeot 107;2010;80000 km;50 kW ;68 hp;Gasoline;4.6 l/100 km ;108 g CO2/km ;Manual;3990,00;EUR
Opel Astra;2008;149000 km;66 kW ;90 hp;Gasoline;6.3 l/100 km ;151 g CO2/km ;Manual;3990,00;EUR
Citroen Nemo;2010;99409 km;50 kW ;68 hp;Diesel;4.5 l/100 km ;119 g CO2/km ;Manual;3990,00;EUR
Opel Meriva;2004;90580 km;74 kW ;101 hp;Gasoline;7.5 l/100 km ;178 g CO2/km ;Manual;3990,00;EUR
BMW 318;2009;304738 km;100 kW ;136 hp;Diesel;-/- (l/100 km);125 g CO2/km ;Manual;3990,00;EUR
Mercedes-Benz C 200;2001;162700 km;120 kW ;163 hp;Gasoline;9.5 l/100 km ;228 g CO2/km ;Automatic;3990,00;EUR
