name;year;mileage;engine_power_kW;engine_power_hp;fuel;consumption;ecology;gearbox;price;currency
Volkswagen up!;2012;92000 km;44 kW ;60 hp;Gasoline;4.5 l/100 km ;105 g CO2/km ;Manual;4499,00;EUR
Renault Wind;2011;61291 km;75 kW ;102 hp;Gasoline;6 l/100 km ;139 g CO2/km ;Manual;4500,00;EUR
Volkswagen Golf;2010;131099 km;90 kW ;122 hp;Gasoline;6.2 l/100 km ;144 g CO2/km ;Manual;4500,00;EUR
Suzuki Ignis;2002;60000 km;61 kW ;83 hp;Gasoline;6.4 l/100 km ;150 g CO2/km ;Manual;4500,00;EUR
Opel Tigra;2007;79000 km;92 kW ;125 hp;Gasoline;7.7 l/100 km ;185 g CO2/km ;Manual;4500,00;EUR
MINI Cooper Clubman;2009;200000 km;80 kW ;109 hp;Diesel;4.5 l/100 km ;121 g CO2/km ;Manual;4600,00;EUR
Peugeot 206;2012;60600 km;44 kW ;60 hp;Gasoline;5.7 l/100 km ;135 g CO2/km ;Manual;4600,00;EUR
BMW 320;2005;280000 km;120 kW ;163 hp;Diesel;6.7 l/100 km ;179 g CO2/km ;Automatic;4650,00;EUR
Opel Corsa;2012;79337 km;63 kW ;86 hp;Gasoline;5.3 l/100 km ;125 g CO2/km ;Manual;4650,00;EUR
Opel Combo;2009;150000 km;55 kW ;75 hp;Diesel;5.2 l/100 km ;140 g CO2/km ;Automatic;4699,00;EUR
Opel Zafira;1999;64750 km;74 kW ;101 hp;Gasoline;8.3 l/100 km ;200 g CO2/km ;Manual;4699,00;EUR
Hyundai Getz;2008;49950 km;49 kW ;67 hp;Gasoline;5.5 l/100 km ;130 g CO2/km ;Manual;4699,00;EUR
Toyota Land Cruiser;1997;207000 km;92 kW ;125 hp;Diesel;13.2 l/100 km ;-/- (CO2/km);Automatic;4700,00;EUR
Mercedes-Benz B 200;2007;200000 km;103 kW ;140 hp;Diesel;6.3 l/100 km ;165 g CO2/km ;Automatic;4750,00;EUR
Audi A6;2007;282380 km;103 kW ;140 hp;Diesel;6.7 l/100 km ;181 g CO2/km ;Automatic;4750,00;EUR
Opel Astra;2007;118775 km;85 kW ;116 hp;Gasoline;-/- (l/100 km);158 g CO2/km ;Manual;4750,00;EUR
Daihatsu Sirion;2007;70700 km;67 kW ;91 hp;Gasoline;6.3 l/100 km ;148 g CO2/km ;Automatic;4750,00;EUR
Volkswagen Polo;2007;122000 km;47 kW ;64 hp;Gasoline;6.3 l/100 km ;151 g CO2/km ;Manual;4780,00;EUR
Volkswagen Golf;2006;95600 km;59 kW ;80 hp;Gasoline;6.9 l/100 km ;165 g CO2/km ;Manual;4950,00;EUR
Volkswagen Golf;2008;141056 km;77 kW ;105 hp;Diesel;5.2 l/100 km ;137 g CO2/km ;Manual;4950,00;EUR
Ford Ka/Ka+;2012;48000 km;51 kW ;69 hp;Gasoline;4.9 l/100 km ;115 g CO2/km ;Manual;4950,00;EUR
Mercedes-Benz E 200;2011;324000 km;100 kW ;136 hp;Diesel;5.9 l/100 km ;153 g CO2/km ;Automatic;4950,00;EUR
Mercedes-Benz E 200;2011;365000 km;100 kW ;136 hp;Diesel;5.9 l/100 km ;153 g CO2/km ;Automatic;4950,00;EUR
Opel Corsa;2009;114700 km;59 kW ;80 hp;Gasoline;5.8 l/100 km ;139 g CO2/km ;Manual;4960,00;EUR
SEAT Ibiza;2012;99620 km;51 kW ;69 hp;Gasoline;5.4 l/100 km ;125 g CO2/km ;Manual;4980,00;EUR
Audi A3;2004;148200 km;75 kW ;102 hp;Gasoline;7 l/100 km ;168 g CO2/km ;Automatic;4980,00;EUR
Mercedes-Benz E 280;1996;86353 km;142 kW ;193 hp;Gasoline;7.5 l/100 km ;-/- (CO2/km);Manual;4980,00;EUR
