name;year;mileage;nr_of_accidents;color_exterior;color_interior;price;currency
Ford F-150 XLT SuperCrew 5.5' Box 4WD;2017;137897 miles;0;silver ; gray ;22920,00;USD
BMW 3 Series 330i RWD;2020;20894 miles;0;gray ; beige ;29996,00;USD
Hyundai Accent SE Sedan Automatic;2017;41505 miles;1;gray ; gray ;7985,00;USD
Honda Civic LX Sedan CVT;2017;54150 miles;2;gray ; gray ;12999,00;USD
Jeep Compass Sport FWD;2014;111118 miles;0;white ; gray ;6500,00;USD
Nissan Sentra SV CVT;2019;38195 miles;0;white ; black ;11445,00;USD
Lexus ES ES 350;2017;16659 miles;0;white ; beige ;25588,00;USD
Honda Civic LX Sedan CVT;2017;36115 miles;0;black ; black ;13495,00;USD
Hyundai Elantra SEL 2.0L Automatic;2019;28394 miles;0;silver ; gray ;11848,00;USD
Pontiac Grand Prix 4dr Sedan;2007;190534 miles;0;silver ; unknown ;3488,00;USD
Chevrolet Corvette Coupe;1999;86946 miles;0;red ; black ;12990,00;USD
Kia Forte EX Sedan Automatic;2011;99404 miles;0;white ; brown ;4978,00;USD
Toyota Corolla LE CVT;2017;71564 miles;1;black ; unknown ;11972,00;USD
Ford Edge SEL AWD;2017;49617 miles;1;black ; unknown ;15993,00;USD
Toyota Camry SE I4 Automatic;2017;33324 miles;0;silver ; unknown ;17311,00;USD
Chrysler 300 S AWD;2017;45931 miles;2;gray ; black ;16699,00;USD
Honda CR-V EX-L AWD;2016;44746 miles;1;white ; black ;15995,00;USD
Chevrolet Express Passenger 3500 LT LWB;2019;27768 miles;0;white ; gray ;22790,00;USD
Ford Fusion SE FWD;2017;74930 miles;1;white ; unknown ;11999,00;USD
Kia Forte LX Sedan Automatic;2017;112000 miles;0;black ; gray ;6999,00;USD
Chevrolet Malibu Limited LT;2016;40680 miles;0;white ; black ;10990,00;USD
Ford Escape SE FWD;2017;33619 miles;0;gray ; black ;14999,00;USD
Ford EcoSport Titanium 4WD;2019;27632 miles;0;white ; gray ;13798,00;USD
Dodge Grand Caravan SXT;2019;38899 miles;0;red ; black ;14445,00;USD
Ford Escape Titanium 4WD;2017;27875 miles;0;gray ; black ;17888,00;USD
Ford Escape SE 4WD;2017;42960 miles;0;black ; black ;16990,00;USD
Honda Civic EX-T Coupe CVT;2017;89743 miles;2;black ; unknown ;12800,00;USD
Toyota Corolla LE CVT;2017;30603 miles;0;silver ; black ;13900,00;USD
Ford Focus SE Hatchback;2014;101433 miles;1;black ; unknown ;6500,00;USD
Nissan Altima SR FWD;2019;6212 miles;1;black ; black ;17950,00;USD
Chevrolet Equinox LT with 1LT FWD;2017;110141 miles;1;silver ; black ;10560,00;USD
Ford Fusion SE AWD;2016;121904 miles;0;gray ; black ;8601,00;USD
Chrysler 300 Limited AWD;2019;11001 miles;0;white ; black ;24983,00;USD
Ford Escape SE FWD;2014;112722 miles;1;white ; gray ;7924,00;USD
Nissan Sentra S CVT;2018;34627 miles;0;black ; black ;10295,00;USD
Chevrolet Malibu LT with 1LT;2019;19376 miles;0;black ; black ;17000,00;USD
Toyota Camry LE Automatic;2019;23165 miles;0;white ; black ;17948,00;USD
Ford Fusion Sport FWD;2010;121921 miles;0;gray ; unknown ;5000,00;USD
Ford Escape SE 4WD;2017;50057 miles;0;gray ; black ;14999,00;USD
Hyundai Elantra SEL 2.0L Automatic;2019;29083 miles;0;gray ; gray ;12995,00;USD
Dodge Grand Caravan SXT;2019;34072 miles;0;white ; black ;14999,00;USD
Hyundai Elantra SEL 2.0L Automatic;2019;35605 miles;1;blue ; gray ;10995,00;USD
Nissan Sentra SV CVT;2017;86527 miles;0;white ; black ;7985,00;USD
Dodge Journey GT AWD;2019;27529 miles;0;gray ; black ;18995,00;USD
Honda CR-V LX AWD;2014;76317 miles;2;black ; black ;11399,00;USD
Nissan Rogue 2017.5 SL FWD;2017;29042 miles;0;white ; black ;16987,00;USD
Nissan Altima SR FWD;2019;6212 miles;1;black ; black ;17950,00;USD
Nissan Rogue SV FWD;2019;23200 miles;0;gray ; black ;14998,00;USD
Chevrolet Malibu LT;2020;14815 miles;1;silver ; black ;19000,00;USD
Kia Soul + Automatic;2019;33205 miles;0;gray ; black ;14391,00;USD
Dodge Grand Caravan SXT;2019;34833 miles;0;red ; black ;16499,00;USD
Dodge Grand Caravan SXT;2019;39603 miles;0;red ; black ;16490,00;USD
Kia Soul + Automatic;2019;22524 miles;0;white ; black ;14987,00;USD
Nissan Altima SL FWD;2019;15132 miles;0;black ; black ;19900,00;USD
Hyundai Elantra Limited 2.0L Sedan Automatic (PZEV);2017;66830 miles;0;red ; beige ;11846,00;USD
Mitsubishi Outlander Sport SE 2.0 FWD CVT;2019;27833 miles;0;gray ; black ;13798,00;USD
Ford Fusion Hybrid SE FWD;2019;17612 miles;0;black ; black ;17295,00;USD
Toyota 4Runner SR5 4WD;2019;25907 miles;0;white ; black ;30898,00;USD
Nissan Rogue SV FWD;2019;42089 miles;0;gray ; black ;15170,00;USD
Dodge Grand Caravan SXT;2019;44948 miles;0;white ; black ;16777,00;USD
"Ram 2500 Big Horn Crew Cab 6'4"" Box 4WD";2019;11702 miles;0;white ; black ;36990,00;USD
Nissan Sentra S CVT;2018;51679 miles;0;silver ; black ;9795,00;USD
Chevrolet Malibu LS;1997;167832 miles;0;white ; beige ;1500,00;USD
Hyundai Elantra SEL 2.0L Automatic;2019;34256 miles;0;silver ; black ;12990,00;USD
Dodge Grand Caravan SXT;2019;43042 miles;0;silver ; black ;17899,00;USD
Mercedes-Benz GLE GLE 350 4MATIC SUV;2017;22273 miles;0;white ; black ;28881,00;USD
Dodge Journey GT FWD;2019;34920 miles;0;white ; black ;16777,00;USD
Kia Optima LX I4 Automatic;2008;113375 miles;1;silver ; unknown ;3995,00;USD
Toyota 4Runner SR5 4WD;2019;34406 miles;0;black ; black ;30999,00;USD
Nissan Rogue SV FWD;2019;26003 miles;0;silver ; black ;17510,00;USD
Nissan Sentra S CVT;2018;34627 miles;0;black ; black ;10295,00;USD
Toyota Corolla LE CVT;2020;9027 miles;0;gray ; gray ;18588,00;USD
Ford Fusion Hybrid SE FWD;2019;22215 miles;0;white ; gray ;16987,00;USD
Ford Fusion Hybrid SE FWD;2019;38052 miles;0;red ; gray ;15230,00;USD
Pontiac Grand Prix 4dr Sedan;2007;190534 miles;0;silver ; unknown ;3488,00;USD
BMW X3 xDrive28i AWD;2013;46607 miles;1;black ; black ;13397,00;USD
Ford Focus SE Hatchback;2014;74772 miles;0;black ; gray ;5990,00;USD
Kia Soul + Automatic;2019;31933 miles;0;black ; black ;11961,00;USD
Mercedes-Benz S-Class S 550 Sedan RWD;2011;77400 miles;0;black ; gray ;21950,00;USD
Kia Optima LX;2019;41574 miles;0;silver ; black ;12857,00;USD
Kia Optima LX Automatic;2020;15464 miles;0;gray ; black ;14990,00;USD
Nissan Sentra SV CVT;2019;28698 miles;0;white ; black ;14490,00;USD
Ford Fusion Hybrid SE FWD;2019;36159 miles;0;black ; black ;16000,00;USD
Nissan Sentra S CVT;2019;42091 miles;0;gray ; black ;11988,00;USD
Dodge Grand Caravan SXT;2019;37952 miles;0;silver ; black ;18273,00;USD
Ford Fusion Hybrid SE FWD;2019;26097 miles;0;red ; unknown ;15041,00;USD
Chevrolet Volt Hatch;2013;127556 miles;0;black ; black ;6980,00;USD
Chevrolet Silverado 1500 LT with 1LT Crew Cab Short Box 2WD;2014;189996 miles;0;white ; black ;13995,00;USD
Hyundai Elantra SE 2.0L Sedan Automatic (alt);2017;81855 miles;2;black ; gray ;8795,00;USD
Nissan Sentra SV CVT;2019;26007 miles;0;silver ; black ;12266,00;USD
Ford Fusion Hybrid SE FWD;2019;27183 miles;0;gray ; black ;15795,00;USD
Nissan Rogue Select S FWD;2015;108986 miles;0;white ; black ;7088,00;USD
Ford Fusion Hybrid SE FWD;2019;28249 miles;0;silver ; gray ;14995,00;USD
Hyundai Tucson SE FWD;2017;104405 miles;0;gray ; gray ;9988,00;USD
Nissan Altima SL FWD;2019;36820 miles;0;black ; black ;17100,00;USD
Nissan Sentra SV CVT;2019;30969 miles;0;white ; black ;13969,00;USD
Ford Fusion Hybrid SE FWD;2019;51116 miles;0;white ; black ;15419,00;USD
Toyota Corolla LE CVT;2017;21000 miles;1;silver ; gray ;10997,00;USD
Dodge Avenger SE FWD;2012;115479 miles;1;gray ; black ;4995,00;USD
Dodge Grand Caravan SXT;2019;25418 miles;0;silver ; black ;16690,00;USD
Nissan NV200 SV;2015;148474 miles;0;white ; gray ;6880,00;USD
Nissan Altima 2.5 S Sedan CVT;2012;146940 miles;1;black ; gray ;5299,00;USD
Dodge Grand Caravan SXT;2019;49507 miles;0;black ; black ;15999,00;USD
Ford Fusion Titanium AWD;2019;31711 miles;0;white ; brown ;17995,00;USD
Ford Fusion Hybrid Titanium FWD;2019;11757 miles;1;silver ; black ;18995,00;USD
Nissan Rogue SV FWD;2019;35772 miles;0;silver ; black ;16295,00;USD
Dodge Journey GT AWD;2019;32136 miles;0;silver ; black ;19627,00;USD
Nissan Sentra S CVT;2019;33462 miles;0;black ; black ;11242,00;USD
Ford Fiesta SE Hatchback;2019;28705 miles;0;white ; black ;8948,00;USD
Chevrolet Impala LT with 1LT;2019;25724 miles;0;black ; black ;17999,00;USD
Honda Pilot Touring with Navigation/Rear Entertainment System 4WD;2012;248382 miles;0;white ; black ;6995,00;USD
Scion xD Base Automatic;2008;98152 miles;0;blue ; gray ;5499,00;USD
Toyota Corolla LE CVT;2020;21612 miles;0;white ; black ;16294,00;USD
Toyota Camry SE Automatic;2019;40757 miles;0;white ; gray ;18687,00;USD
Nissan Versa SV CVT;2018;39948 miles;0;black ; black ;8582,00;USD
Honda Civic LX Sedan CVT;2017;50226 miles;0;white ; beige ;15505,00;USD
Nissan Rogue S FWD;2016;109689 miles;1;red ; beige ;8490,00;USD
Kia Optima LX;2019;24727 miles;0;white ; black ;15740,00;USD
INFINITI QX80 LUXE AWD;2019;32356 miles;0;black ; gray ;40920,00;USD
Toyota Corolla LE CVT;2020;30312 miles;0;gray ; unknown ;16988,00;USD
Nissan Sentra SV CVT;2017;19543 miles;0;gray ; black ;10999,00;USD
Ford Fusion Hybrid SE FWD;2019;28414 miles;0;black ; unknown ;15975,00;USD
Ford Fusion Hybrid SE FWD;2019;29444 miles;0;black ; gray ;16000,00;USD
Buick Century Custom;2003;149861 miles;0;white ; gray ;2000,00;USD
Honda Accord LX Sedan CVT;2017;21202 miles;0;gray ; gray ;14998,00;USD
Nissan Versa SV Sedan CVT;2019;31037 miles;0;white ; black ;11693,00;USD
Chevrolet Malibu LT;2020;9715 miles;0;black ; gray ;19988,00;USD
Ford Fusion Hybrid SE FWD;2019;29681 miles;0;white ; unknown ;15965,00;USD
Toyota Corolla LE CVT;2020;6297 miles;0;white ; black ;18388,00;USD
Chevrolet Malibu LT with 1LT;2019;19376 miles;0;black ; black ;17000,00;USD
Nissan Sentra SV CVT;2019;36535 miles;0;black ; black ;12988,00;USD
Nissan Altima SL FWD;2019;30198 miles;0;black ; black ;19152,00;USD
INFINITI QX80 LUXE AWD;2019;32923 miles;0;black ; gray ;40880,00;USD
Ford Focus SE Hatchback;2014;101433 miles;1;black ; unknown ;6500,00;USD
BMW 3 Series 330i Sedan RWD;2017;50512 miles;0;white ; unknown ;18400,00;USD
Ford Fusion SE FWD;2017;50268 miles;1;silver ; black ;11999,00;USD
Nissan Sentra SV CVT;2017;51797 miles;1;gray ; black ;9995,00;USD
Toyota Corolla LE CVT;2017;60068 miles;1;black ; black ;11411,00;USD
Dodge Grand Caravan SXT;2019;23185 miles;0;red ; black ;18995,00;USD
Toyota RAV4 Hybrid LE AWD;2019;2004 miles;2;white ; black ;20900,00;USD
Bentley Continental Supersports Convertible;2012;21000 miles;0;white ; black ;89995,00;USD
Nissan Altima 2.5 SV;2016;137633 miles;0;silver ; unknown ;7499,00;USD
Nissan Altima SL FWD;2019;30373 miles;0;silver ; black ;18991,00;USD
Bentley Flying Spur W12 Sedan;2008;63000 miles;0;white ; unknown ;38500,00;USD
Ford Fusion Titanium AWD;2019;35020 miles;0;silver ; black ;20513,00;USD
Lexus RX RX 350 AWD;2008;157258 miles;0;black ; unknown ;8488,00;USD
Ford EcoSport Titanium 4WD;2019;21790 miles;0;red ; unknown ;14900,00;USD
Ford Fusion Hybrid SE FWD;2019;21774 miles;0;white ; gray ;16695,00;USD
Kia Optima LX I4 Automatic;2008;113375 miles;1;silver ; unknown ;3995,00;USD
Subaru Forester 2.5i Premium CVT (PZEV);2015;60269 miles;2;blue ; gray ;10995,00;USD
Hyundai Elantra SE 2.0L Sedan Automatic (Ulsan);2017;44419 miles;0;black ; beige ;12990,00;USD
Mercedes-Benz SLC SLC 300;2018;36195 miles;0;white ; gray ;29795,00;USD
Nissan Sentra SV CVT;2019;31653 miles;0;black ; black ;14396,00;USD
Nissan Versa S Plus Sedan CVT;2019;61944 miles;0;black ; black ;8000,00;USD
Honda Civic LX Sedan CVT;2017;22505 miles;1;gray ; black ;12150,00;USD
Ford F-150 XLT SuperCrew 5.5' Box 4WD;2019;21375 miles;0;black ; unknown ;36995,00;USD
Mercedes-Benz C-Class C 300 with Sport Package Sedan RWD;2017;9587 miles;0;black ; black ;22995,00;USD
Chevrolet Malibu LT;2020;7158 miles;0;silver ; black ;19988,00;USD
Honda Civic LX Sedan CVT;2017;32398 miles;0;black ; black ;12785,00;USD
Mercedes-Benz GLE GLE 350 4MATIC SUV;2017;30225 miles;0;white ; black ;34997,00;USD
Nissan Pathfinder SV FWD;2019;35817 miles;0;white ; black ;22000,00;USD
"Ram 1500 Classic Big Horn Crew Cab 6'4"" Box 2WD";2019;17095 miles;0;white ; black ;26990,00;USD
Dodge Journey GT AWD;2019;37050 miles;0;red ; black ;19999,00;USD
Hyundai Elantra SE 2.0L Sedan Automatic (Ulsan);2017;44419 miles;0;black ; beige ;12990,00;USD
Chevrolet Express Passenger 3500 LT LWB;2019;31517 miles;0;white ; gray ;20050,00;USD
Nissan Rogue SV FWD;2019;28549 miles;0;white ; black ;16987,00;USD
Nissan Rogue SV FWD;2019;35937 miles;0;blue ; black ;17900,00;USD
Ford Fusion Hybrid SE FWD;2019;32712 miles;0;blue ; black ;14453,00;USD
Chevrolet Silverado 1500 LT with 1LT Crew Cab Short Box 2WD;2014;127611 miles;0;black ; brown ;17999,00;USD
Kia Soul + Automatic;2019;16553 miles;0;red ; black ;14775,00;USD
Toyota 4Runner SR5 4WD;2019;25756 miles;0;black ; black ;31084,00;USD
Nissan Rogue SV FWD;2019;35823 miles;0;blue ; black ;17301,00;USD
Nissan Frontier SL Crew Cab 4WD Automatic;2019;31285 miles;0;black ; gray ;23995,00;USD
Chevrolet Express Passenger 3500 LT LWB;2019;18553 miles;0;white ; gray ;23800,00;USD
Nissan Altima 2.5 S;2015;104690 miles;0;red ; black ;7950,00;USD
Nissan Sentra SV CVT;2019;37342 miles;0;silver ; black ;12575,00;USD
Toyota Camry LE Automatic;2019;39613 miles;0;black ; black ;16477,00;USD
Honda Accord SE Sedan I4 Automatic;2012;80314 miles;0;black ; black ;8995,00;USD
Toyota Corolla LE CVT;2020;13233 miles;0;unknown ; unknown ;15500,00;USD
Nissan Sentra 2.0 S CVT;2011;98951 miles;0;red ; black ;4799,00;USD
Nissan Rogue SV FWD;2019;29600 miles;0;gray ; black ;17916,00;USD
Hyundai Elantra SEL 2.0L Automatic;2019;40083 miles;0;black ; gray ;12777,00;USD
Ford Fusion Hybrid SE FWD;2019;69630 miles;0;white ; black ;14444,00;USD
Honda Civic LX Sedan Automatic;2013;103123 miles;1;black ; black ;8950,00;USD
Mitsubishi Outlander Sport SE 2.0 FWD CVT;2019;29786 miles;0;red ; black ;13388,00;USD
Nissan Rogue SV FWD;2019;40288 miles;0;gray ; black ;16791,00;USD
Dodge Grand Caravan SXT;2019;42085 miles;0;gray ; black ;17892,00;USD
Nissan Sentra SV CVT;2019;29822 miles;0;black ; black ;11499,00;USD
Dodge Grand Caravan SXT;2019;34544 miles;0;silver ; black ;17795,00;USD
Dodge Journey GT AWD;2019;26428 miles;1;silver ; black ;20999,00;USD
Hyundai Elantra SE 2.0L Sedan Automatic (alt);2017;90093 miles;0;tan ; beige ;7995,00;USD
GMC Terrain SLT AWD;2020;29898 miles;0;silver ; black ;23397,00;USD
Nissan Altima 2.5 SV;2016;137633 miles;0;silver ; unknown ;7499,00;USD
Hyundai Sonata GLS 2.4L (alt);2013;132829 miles;0;gray ; gray ;5995,00;USD
Hyundai Elantra SEL 2.0L Automatic;2019;38337 miles;0;silver ; gray ;12989,00;USD
Dodge Grand Caravan SXT;2019;38338 miles;0;silver ; black ;16500,00;USD
Honda Civic LX Sedan CVT;2017;42557 miles;0;black ; black ;13999,00;USD
Honda Accord LX Sedan CVT;2017;21606 miles;0;white ; beige ;14900,00;USD
Kia Optima LX Automatic;2020;148 miles;1;gray ; black ;14999,00;USD
Chevrolet Camaro LT with 1LT Convertible;2019;21702 miles;1;black ; black ;20498,00;USD
Toyota Corolla S Automatic;2010;133149 miles;0;black ; black ;5998,00;USD
Toyota Corolla LE CVT;2020;10350 miles;0;white ; gray ;15995,00;USD
Hyundai Elantra SE 2.0L Sedan Automatic;2017;89765 miles;0;gray ; gray ;8900,00;USD
Nissan Sentra SV CVT;2017;83037 miles;0;silver ; black ;10000,00;USD
INFINITI QX60 3.5 AWD;2017;25081 miles;1;silver ; gray ;21999,00;USD
Nissan Rogue SV FWD;2019;34952 miles;0;black ; black ;15990,00;USD
Nissan Sentra SV CVT;2017;50051 miles;0;white ; gray ;10495,00;USD
Dodge Journey GT AWD;2019;30305 miles;0;white ; black ;17973,00;USD
Kia Soul + Automatic;2016;80064 miles;2;black ; black ;8495,00;USD
Dodge Grand Caravan SXT;2019;45595 miles;0;silver ; black ;16936,00;USD
Chevrolet Malibu LT;2020;13905 miles;0;black ; black ;20403,00;USD
Nissan Rogue SV FWD;2019;33283 miles;0;silver ; black ;15498,00;USD
Dodge Grand Caravan SXT;2019;35900 miles;0;silver ; black ;16792,00;USD
"Ram 1500 Classic Big Horn Crew Cab 6'4"" Box 2WD";2019;28469 miles;0;silver ; black ;25937,00;USD
Nissan Sentra S CVT;2018;40589 miles;0;white ; black ;8998,00;USD
Toyota Corolla LE CVT;2020;17410 miles;0;white ; black ;15668,00;USD
"Ram 1500 Classic Big Horn Crew Cab 6'4"" Box 2WD";2019;11652 miles;0;white ; black ;25451,00;USD
Dodge Journey GT AWD;2019;40832 miles;0;white ; red ;20500,00;USD
Nissan Sentra SV CVT;2018;31980 miles;1;red ; black ;9500,00;USD
Hyundai Tucson Sport FWD;2016;94858 miles;0;blue ; black ;12740,00;USD
Honda Pilot Black Edition AWD;2020;6688 miles;0;black ; black ;44780,00;USD
Ford EcoSport Titanium 4WD;2019;21444 miles;0;white ; black ;18996,00;USD
Nissan Altima 2.5 S;2015;132591 miles;0;silver ; black ;8119,00;USD
Honda Fit Sport Automatic;2013;77469 miles;0;white ; black ;10462,00;USD
Chevrolet Silverado 3500HD LTZ Crew Cab Long Box 4WD DRW;2013;202276 miles;1;brown ; black ;26106,00;USD
Jeep Renegade Latitude 4WD;2017;37414 miles;1;blue ; black ;15960,00;USD
GMC Terrain SLT-2 FWD;2012;74217 miles;0;black ; black ;13429,00;USD
Toyota RAV4 Hybrid XLE AWD;2017;35167 miles;1;white ; black ;24377,00;USD
Chevrolet Volt Premier;2017;24590 miles;0;black ; black ;21998,00;USD
Hyundai Elantra SE Sedan Automatic;2014;139822 miles;0;red ; gray ;5691,00;USD
Honda Accord Sport Sedan I4 CVT;2014;132259 miles;0;blue ; unknown ;10871,00;USD
Chevrolet Express Passenger 3500 LT LWB;2019;31292 miles;0;white ; gray ;24495,00;USD
Kia Sorento LX I4-GDI FWD Automatic;2012;107394 miles;0;green ; beige ;8999,00;USD
Chrysler 200 Limited Platinum FWD;2017;25005 miles;1;silver ; black ;17000,00;USD
Dodge Challenger SXT RWD Automatic;2019;14525 miles;0;black ; black ;23000,00;USD
Honda Civic EX-L Navi Hatchback CVT;2017;29852 miles;0;white ; black ;20774,00;USD
"Ram 1500 Tradesman Quad Cab 6'4"" Box 2WD";2016;126767 miles;0;white ; gray ;13880,00;USD
Chevrolet Silverado 1500 LT Crew Cab Short Box 4WD;2013;179920 miles;0;gray ; gray ;16880,00;USD
Subaru Impreza 2.0i 4-door CVT;2017;37120 miles;0;gray ; black ;15488,00;USD
Hyundai Kona Ultimate FWD DCT;2018;11408 miles;0;black ; black ;21989,00;USD
Ford Escape Titamium 4WD;2015;55442 miles;0;red ; black ;14100,00;USD
Nissan Rogue SL AWD;2012;100141 miles;2;gray ; black ;10990,00;USD
Mitsubishi Mirage SE Hatchback Manual;2017;34068 miles;0;silver ; black ;10000,00;USD
Jeep Grand Cherokee Limited 75th Anniversary 4WD;2016;36039 miles;0;green ; black ;28594,00;USD
Jeep Compass Latitude 4WD;2014;89971 miles;1;gray ; gray ;9995,00;USD
Subaru Forester 2.5X Premium w/All-Weather Auto;2011;83188 miles;1;silver ; gray ;10995,00;USD
Honda Civic Sport Hatchback CVT;2017;36391 miles;0;black ; black ;18995,00;USD
Honda Civic LX Sedan CVT;2019;12468 miles;0;blue ; gray ;16995,00;USD
