name;year;mileage;nr_of_accidents;color_exterior;color_interior;price;currency
Dodge Grand Caravan SXT;2019;34745 miles;0;black ; black ;15600,00;USD
Kia Soul + Automatic;2019;34626 miles;0;gray ; black ;11999,00;USD
Nissan Sentra SV CVT;2019;38195 miles;0;white ; black ;11445,00;USD
Volkswagen Passat 2.0T Wolfsburg Edition;2019;37859 miles;0;silver ; black ;13497,00;USD
Kia Soul + Automatic;2019;16836 miles;0;white ; black ;12591,00;USD
Lexus ES ES 350;2008;164187 miles;0;black ; beige ;6064,00;USD
Toyota Corolla L CVT;2017;64968 miles;0;black ; gray ;9900,00;USD
Kia Forte LX Sedan Automatic;2018;61563 miles;1;white ; black ;9285,00;USD
Hyundai Elantra GLS Sedan Automatic;2013;79672 miles;1;silver ; gray ;6999,00;USD
Dodge Grand Caravan SXT;2019;51381 miles;0;white ; black ;16469,00;USD
Ford Fusion Hybrid SE FWD;2019;24635 miles;0;silver ; gray ;15391,00;USD
Chevrolet Express Passenger 3500 LT LWB;2019;23130 miles;0;white ; gray ;22595,00;USD
Toyota Camry LE Automatic;2019;29085 miles;0;black ; unknown ;16400,00;USD
Hyundai Elantra GT Hatchback Automatic;2017;56289 miles;0;silver ; black ;9250,00;USD
Dodge Grand Caravan SXT;2019;41260 miles;0;black ; black ;16482,00;USD
Ford Fusion Hybrid SE FWD;2019;31239 miles;1;white ; black ;16784,00;USD
Honda Civic Si Sedan Manual;2017;38724 miles;0;gray ; black ;16995,00;USD
Dodge Grand Caravan SXT;2019;34099 miles;0;silver ; black ;16795,00;USD
Ford Fusion SE FWD;2019;96 miles;0;black ; black ;17290,00;USD
Kia Optima LX;2019;24707 miles;0;black ; black ;14800,00;USD
Ford Focus SE Sedan;2014;90846 miles;0;white ; beige ;6499,00;USD
"Ram 1500 Big Horn/Lone Star Crew Cab 5'7"" Box 2WD";2019;1044 miles;0;silver ; black ;24500,00;USD
Nissan Sentra SV CVT;2019;25202 miles;0;gray ; black ;11995,00;USD
Volkswagen Passat V6 SEL Premium DSG;2017;52563 miles;0;silver ; gray ;15998,00;USD
Dodge Grand Caravan  ;2019;32457 miles;0;blue ; black ;18885,00;USD
Mercedes-Benz GLC GLC 43 AMG 4MATIC SUV;2017;52770 miles;0;silver ; beige ;36885,00;USD
Nissan Altima 2.5 SL;2017;24020 miles;0;white ; black ;17448,00;USD
Kia Optima LX 2.4L Automatic;2012;111596 miles;0;silver ; beige ;7771,00;USD
Jeep Wrangler Unlimited Sport S;2020;6 miles;0;red ; black ;37888,00;USD
"Ram 1500 Rebel Quad Cab 6'4"" Box 4WD";2019;29569 miles;0;silver ; black ;37488,00;USD
Honda Insight LX;2013;79865 miles;0;unknown ; unknown ;7985,00;USD
Jeep Wrangler Unlimited Sport;2015;139144 miles;0;silver ; black ;28050,00;USD
Toyota 4Runner SR5 V6 RWD;2009;221767 miles;1;gray ; black ;7900,00;USD
Jeep Cherokee Limited 4WD;2019;11327 miles;0;white ; black ;26895,00;USD
Kia Sedona EX;2020;7400 miles;0;gray ; gray ;28652,00;USD
Ford Fusion SEL FWD;2019;32867 miles;0;gold ; gray ;16490,00;USD
Dodge Grand Caravan  ;2019;36567 miles;0;white ; black ;18499,00;USD
Ford Fusion SE FWD;2016;65734 miles;0;blue ; unknown ;11249,00;USD
Nissan Sentra SV CVT;2016;48067 miles;0;white ; black ;10989,00;USD
Honda Accord EX-L 1.5T CVT;2018;26211 miles;0;silver ; black ;21695,00;USD
Toyota Highlander XLE V6 FWD;2018;10895 miles;0;gray ; unknown ;29995,00;USD
Ford Focus SE Hatchback;2017;28164 miles;0;red ; black ;13595,00;USD
Toyota Highlander XLE V6 AWD;2017;31736 miles;0;brown ; black ;31293,00;USD
Ford Mustang EcoBoost Fastback;2017;49416 miles;0;red ; black ;20995,00;USD
Honda Civic EX Hatchback CVT;2018;31749 miles;0;silver ; black ;22999,00;USD
