name,mark,year,mileage,engine_power_kW,engine_power_hp,fuel_type,consumption_(l/100 km),ecology_(gCO2/km),gearbox,price,currency,country,engine_size,nr_of_accidents,color_exterior,color_interior,price_eur
mercedes benz s 600 l gepanzert armoured armored vr6,mercedes,0,10.0,,,Petrol,,,Automatic,389000.0,EUR,The Netherlands,5980.0,,unknown,unknown,389000.0
land rover freelander 2 dsl a.,rover,0,124000.0,,,Diesel,,,Automatic,9999.0,EUR,The Netherlands,2179.0,,unknown,unknown,9999.0
ford transit/tourneo â4500 netto!!!!export,ford,2010,258991.0,,,Diesel,,,Manual,5445.0,EUR,The Netherlands,2198.0,,unknown,unknown,5445.0
peugeot 308 sw 1.6 vti xt pano/airco,peugeot,2009,194354.0,,,Petrol,,,Manual,2250.0,EUR,The Netherlands,1600.0,,unknown,unknown,2250.0
mercedes benz glc 220d amg aut9 4matic pano/leer,mercedes,2016,131275.0,,,Diesel,,,Automatic,20900.0,EUR,The Netherlands,2143.0,,unknown,unknown,20900.0
mercedes benz sprinter 311cdi l2h2 airco 9persoons met invalide lift,mercedes,2011,700000.0,,,Diesel,,,Automatic,6750.0,EUR,The Netherlands,2148.0,,unknown,unknown,6750.0
mercedes benz sprinter 311cdi 9 persoons,mercedes,2007,240000.0,,,Diesel,,,Manual,6750.0,EUR,The Netherlands,2148.0,,unknown,unknown,6750.0
mercedes benz sprinter 311cdi airco 9 persoons,mercedes,2008,220000.0,,,Diesel,,,Automatic,9250.0,EUR,The Netherlands,2148.0,,unknown,unknown,9250.0
fiat fiat ducato 9 persoons,fiat,2012,150000.0,,,Diesel,,,Manual,8750.0,EUR,The Netherlands,1956.0,,unknown,unknown,8750.0
bmw 3-serie touring 318i,bmw,2010,148149.0,,,Petrol,,,Manual,7950.0,EUR,The Netherlands,1995.0,,unknown,unknown,7950.0
land rover discovery sport td4 aut. se motorschade,rover,0,124000.0,,,Diesel,,,Automatic,11999.0,EUR,The Netherlands,1999.0,,unknown,unknown,11999.0
ford focus wagon 1.6-16v trend airco,ford,2000,240971.0,,,Petrol,,,Manual,699.0,EUR,The Netherlands,1596.0,,unknown,unknown,699.0
mercedes benz sprinter 315 cdi lang,mercedes,2009,253015.0,,,Diesel,,,Automatic,5950.0,EUR,The Netherlands,2148.0,,unknown,unknown,5950.0
opel corsa 1.2-16v njoy airco,opel,2003,243173.0,,,Petrol,,,Manual,749.0,EUR,The Netherlands,1199.0,,unknown,unknown,749.0
volkswagen transporter t6.1 2.0 tdi 150 pk dsg l2h1 caravelle euro 6 d-temp cruise ...,volkswagen,2020,3.0,,,Diesel,,,Automatic,44500.0,EUR,The Netherlands,1968.0,,unknown,unknown,44500.0
toyota 4.5 d-4d v8,toyota,2008,461390.0,,,Diesel,,,Automatic,25000.0,EUR,The Netherlands,4461.0,,unknown,unknown,25000.0
mercedes benz sprinter 311 2.2 cdi 366 hd,mercedes,2008,561000.0,,,Diesel,,,Automatic,7950.0,EUR,The Netherlands,2148.0,,unknown,unknown,7950.0
toyota 2.5 d-4d,toyota,2009,101997.0,,,Diesel,,,Manual,8500.0,EUR,The Netherlands,2494.0,,unknown,unknown,8500.0
toyota 90 3.0 d-4d,toyota,2002,272247.0,,,Diesel,,,Automatic,6500.0,EUR,The Netherlands,2982.0,,unknown,unknown,6500.0
mercedes benz 500 sel,mercedes,1981,278000.0,,,LPG,,,Automatic,9750.0,EUR,The Netherlands,4973.0,,unknown,unknown,9750.0
mercedes benz 190 e 1.8,mercedes,1993,123000.0,,,Petrol,,,Manual,5500.0,EUR,The Netherlands,1797.0,,unknown,unknown,5500.0
toyota 1.6,toyota,2008,226886.0,,,Petrol,,,Manual,4800.0,EUR,The Netherlands,1598.0,,unknown,unknown,4800.0
mercedes benz sprinter 316 ngt aardgas !,mercedes,2014,248489.0,,,LPG,,,Automatic,14950.0,EUR,The Netherlands,1796.0,,unknown,unknown,14950.0
toyota 90 3.0 d-4d,toyota,2001,463349.0,,,Diesel,,,Automatic,6500.0,EUR,The Netherlands,2982.0,,unknown,unknown,6500.0
peugeot partner tepee active *navi*,peugeot,2016,27000.0,,,Petrol,,,Manual,12750.0,EUR,The Netherlands,1598.0,,unknown,unknown,12750.0
peugeot 306 xr 1.4 crystal,peugeot,1995,207023.0,,,Petrol,,,Manual,950.0,EUR,The Netherlands,1360.0,,unknown,unknown,950.0
toyota 4.5 d-4d v8,toyota,2008,461355.0,,,Diesel,,,Automatic,25000.0,EUR,The Netherlands,4461.0,,unknown,unknown,25000.0
toyota 90 3.0 d-4d,toyota,2000,211201.0,,,Diesel,,,Manual,5900.0,EUR,The Netherlands,2982.0,,unknown,unknown,5900.0
audi 2.0 tdi,audi,2012,185657.0,,,Diesel,,,Automatic,14500.0,EUR,The Netherlands,1968.0,,unknown,unknown,14500.0
audi a3 cabrio 1.2 tfsi ambition climate,audi,2012,101298.0,,,Petrol,,,Manual,8900.0,EUR,The Netherlands,1197.0,,unknown,unknown,8900.0
"mercedes benz m-klasse 270 cdi clima, cruise",mercedes,2003,326370.0,,,Diesel,,,Automatic,3550.0,EUR,The Netherlands,2685.0,,unknown,unknown,3550.0
renault megane grandtour 1.5 dci 110 eco dynamique aut6 navi,renault,2010,199587.0,,,Diesel,,,Automatic,3300.0,EUR,The Netherlands,1461.0,,unknown,unknown,3300.0
land rover range rover tdv8,rover,0,165000.0,,,Diesel,,,Automatic,17241.0,EUR,The Netherlands,4367.0,,unknown,unknown,17241.0
land rover range rover evoque td4 aut. pure technik,rover,0,94000.0,,,Diesel,,,Automatic,19784.0,EUR,The Netherlands,2179.0,,unknown,unknown,19784.0
toyota corolla-verso 1.8 vvt-i linea sol airco/ecc,toyota,2003,185287.0,,,Petrol,,,Manual,1950.0,EUR,The Netherlands,1794.0,,unknown,unknown,1950.0
mercedes benz sprinter 9 persoons l2h2 9x op voorraad vanaf 6500ex btw,mercedes,2008,240000.0,,,Diesel,,,Manual,6500.0,EUR,The Netherlands,2148.0,,unknown,unknown,6500.0
mercedes benz sprinter 311cdi,mercedes,2006,290000.0,,,Diesel,,,Manual,6250.0,EUR,The Netherlands,2148.0,,unknown,unknown,6250.0
mercedes benz sprinter 311cdi 9 persoons sprinter 311cdi 9 persoons,mercedes,2007,230000.0,,,Diesel,,,Manual,6500.0,EUR,The Netherlands,2148.0,,unknown,unknown,6500.0
fiat fiat ducato 9 persoons 115000km,fiat,2012,115000.0,,,Diesel,,,Manual,8750.0,EUR,The Netherlands,1956.0,,unknown,unknown,8750.0
fiat fiat ducato 9 persoons 115000km,fiat,2012,115000.0,,,Diesel,,,Manual,8750.0,EUR,The Netherlands,1956.0,,unknown,unknown,8750.0
fiat fiat ducato 9 persoons 105000km,fiat,2012,105000.0,,,Diesel,,,Manual,8750.0,EUR,The Netherlands,1956.0,,unknown,unknown,8750.0
mercedes benz c-klasse 220 cdi avantgarde navigaie led,mercedes,2014,91191.0,,,Diesel,,,Manual,17900.0,EUR,The Netherlands,2143.0,,unknown,unknown,17900.0
mitsubishi space star 1.0 bright automaat | climate control | dealer onderhouden | ...,mitsubishi,2015,24608.0,,,Petrol,,,Automatic,8740.0,EUR,The Netherlands,999.0,,unknown,unknown,8740.0
peugeot 108 1.0 e-vti active | airco | 5-deurs | lederen multifunctioneel stuurw...,peugeot,2015,67034.0,,,Petrol,,,Manual,6395.0,EUR,The Netherlands,998.0,,unknown,unknown,6395.0
ford ka 1.3,ford,2007,111630.0,,,Petrol,,,Manual,1500.0,EUR,The Netherlands,1299.0,,unknown,unknown,1500.0
land rover range rover autobiography  black  kã¼hlbox-voll,rover,0,50.0,,,Petrol,,,Automatic,109900.0,EUR,The Netherlands,5000.0,,unknown,unknown,109900.0
toyota corolla verso,toyota,2004,228552.0,,,Petrol,,,Manual,2800.0,EUR,The Netherlands,1794.0,,unknown,unknown,2800.0
audi a6 avant 3.0 tdi quattro pro line plus,audi,2013,213443.0,,,Diesel,,,Automatic,12500.0,EUR,The Netherlands,2967.0,,unknown,unknown,12500.0
"ford focus 1.8 tdci , airco",ford,2003,197288.0,,,Diesel,,,Manual,550.0,EUR,The Netherlands,1800.0,,unknown,unknown,550.0
mazda 323 1.4/16v si,mazda,1998,243780.0,,,Petrol,,,Manual,600.0,EUR,The Netherlands,1400.0,,unknown,unknown,600.0
mercedes benz amg gt s,mercedes,2015,13556.0,,,Petrol,,,Automatic,127500.0,EUR,The Netherlands,3982.0,,unknown,unknown,127500.0
opel astra wagon 1.6 temptation,opel,2008,98540.0,,,Petrol,,,Manual,5149.0,EUR,The Netherlands,1598.0,,unknown,unknown,5149.0
opel astra 1.6 sport 32.000 km met nap,opel,1998,32787.0,,,Petrol,,,Manual,3449.0,EUR,The Netherlands,1598.0,,unknown,unknown,3449.0
bmw 5-serie 520i executive automaat,bmw,2004,365427.0,,,Petrol,,,Automatic,3250.0,EUR,The Netherlands,2171.0,,unknown,unknown,3250.0
mercedes benz gl 63 amg 4 matic - full spec - 7 seater - panorama roof - harman kardon...,mercedes,2014,59684.0,,,Petrol,,,Automatic,58900.0,EUR,The Netherlands,5461.0,,unknown,unknown,58900.0
audi q5,audi,0,31500.0,,,Petrol,,,Automatic,23995.0,EUR,The Netherlands,1984.0,,unknown,unknown,23995.0
peugeot 206 cabriolet cc filou       1. hand.,peugeot,0,143800.0,,,Petrol,,,Manual,1690.0,EUR,The Netherlands,1587.0,,unknown,unknown,1690.0
bmw 1-serie 5-drs 116i business line airco,bmw,2010,214471.0,,,Petrol,,,Manual,3800.0,EUR,The Netherlands,1995.0,,unknown,unknown,3800.0
"volkswagen passat 2.0 fsi , navi , leder , aut.",volkswagen,2006,281221.0,,,Petrol,,,Automatic,2500.0,EUR,The Netherlands,1984.0,,unknown,unknown,2500.0
fiat fiat ducato 9 persoons 100000km,fiat,2012,100000.0,,,Diesel,,,Manual,8750.0,EUR,The Netherlands,1956.0,,unknown,unknown,8750.0
mercedes benz sprinter 316cdi airco persoon invalide vervoer,mercedes,2013,620000.0,,,Diesel,,,Automatic,14500.0,EUR,The Netherlands,2143.0,,unknown,unknown,14500.0
mercedes benz sprinter 9persoons met invalide lift,mercedes,2011,500000.0,,,Diesel,,,Automatic,7950.0,EUR,The Netherlands,2148.0,,unknown,unknown,7950.0
"opel vivaro 9 sitze * 8400,-netto tãv neu",opel,0,143000.0,,,Diesel,,,Manual,8400.0,EUR,The Netherlands,1598.0,,unknown,unknown,8400.0
opel vivaro 9 sitze,opel,0,165000.0,,,Diesel,,,Manual,8200.0,EUR,The Netherlands,1598.0,,unknown,unknown,8200.0
audi a4 avant 1.4 tfsi 150pk pro l. spring adv. avant navi klima,audi,2016,121849.0,,,Petrol,,,Manual,12950.0,EUR,The Netherlands,1395.0,,unknown,unknown,12950.0
citroen jumpy hdi 125 fap l1 multispace attraction,citroen,2014,265000.0,,,Diesel,,,Manual,4750.0,EUR,The Netherlands,1997.0,,unknown,unknown,4750.0
mercedes benz 124type 230 e 124,mercedes,1985,190000.0,,,Petrol,,,Automatic,7750.0,EUR,The Netherlands,2299.0,,unknown,unknown,7750.0
mercedes benz 500 sl airco automaat marge sl 500,mercedes,1991,172200.0,,,Petrol,,,Automatic,13750.0,EUR,The Netherlands,4973.0,,unknown,unknown,13750.0
mercedes benz sprinter 311cdi airco 9 persoons l3h2,mercedes,2008,470000.0,,,Diesel,,,Automatic,6500.0,EUR,The Netherlands,2148.0,,unknown,unknown,6500.0
mercedes benz 200 e 124 type automaat 157000km,mercedes,1989,157000.0,,,Petrol,,,Automatic,7750.0,EUR,The Netherlands,1996.0,,unknown,unknown,7750.0
jeep jeep wrangler 4x4 cabrio,jeep,1997,160000.0,,,LPG,,,Manual,9750.0,EUR,The Netherlands,2464.0,,unknown,unknown,9750.0
ford ranger doppelkabine 4x4 wildtrak,ford,0,33500.0,,,Diesel,,,Automatic,24900.0,EUR,The Netherlands,3198.0,,unknown,unknown,24900.0
"renault trafic kasten l1h1 2,7t komfort",renault,0,6900.0,,,Diesel,,,Manual,14900.0,EUR,The Netherlands,1598.0,,unknown,unknown,14900.0
ford mondeo tdci ac-clime mondeo,ford,2006,238000.0,,,Diesel,,,Manual,650.0,EUR,The Netherlands,1998.0,,unknown,unknown,650.0
"fiat 500 1.2 lounge aut.nap airco,leer,pano,pdc",fiat,2010,52281.0,,,Petrol,,,Automatic,7250.0,EUR,The Netherlands,1242.0,,unknown,unknown,7250.0
volkswagen passat variant 1.6 tdi diesel trekhaak- climat control a/c- navi passat,volkswagen,2015,159000.0,,,Diesel,,,Manual,14900.0,EUR,The Netherlands,1598.0,,unknown,unknown,14900.0
opel zafira 1.8-16v selection airco 7 persoons apk verlopen,opel,2002,190913.0,,,Petrol,,,Manual,950.0,EUR,The Netherlands,1796.0,,unknown,unknown,950.0
opel astra sports tourer 1.4 turbo business + nap airco,opel,2013,149284.0,,,Petrol,,,Manual,8250.0,EUR,The Netherlands,1362.0,,unknown,unknown,8250.0
opel corsa 1.2 16v strada 5drs. - apk jan. 2021 - 7120,opel,1999,241846.0,,,Petrol,,,Manual,650.0,EUR,The Netherlands,1199.0,,unknown,unknown,650.0
skoda octavia combi 1.5 tsi 110kw ambition navi,skoda,2018,41153.0,,,Petrol,,,Manual,7500.0,EUR,The Netherlands,1498.0,,unknown,unknown,7500.0
toyota aygo tãv neu,toyota,0,85000.0,,,Petrol,,,Manual,2999.0,EUR,The Netherlands,998.0,,unknown,unknown,2999.0
mercedes benz e 320 avantgarde 7 zitter,mercedes,1998,112500.0,,,Petrol,,,Automatic,4750.0,EUR,The Netherlands,3199.0,,unknown,unknown,4750.0
bmw 325i,bmw,1993,55205.0,,,Petrol,,,Automatic,5750.0,EUR,The Netherlands,2493.0,,unknown,unknown,5750.0
ford transit/tourneo,ford,2007,334039.0,,,Diesel,,,Manual,4950.0,EUR,The Netherlands,2198.0,,unknown,unknown,4950.0
bmw 7-serie 740le iperformance high executive - ex. minister auto! - â 29.95...,bmw,2016,210090.0,,,Hybrid,,,Automatic,29950.0,EUR,The Netherlands,1998.0,,unknown,unknown,29950.0
kia sorento 2.5,kia,2003,256000.0,,,Diesel,,,Manual,2250.0,EUR,The Netherlands,2497.0,,unknown,unknown,2250.0
volkswagen touran 1.6 fsi business airco,volkswagen,2006,254323.0,,,Petrol,,,Manual,1650.0,EUR,The Netherlands,1598.0,,unknown,unknown,1650.0
toyota verso 2.0 d-4d aspiration 7-pers. navi/climate,toyota,2012,217799.0,,,Diesel,,,Manual,4900.0,EUR,The Netherlands,1998.0,,unknown,unknown,4900.0
volkswagen golf variant 1.4 tsi 118kw highline panorama,volkswagen,2011,128175.0,,,Petrol,,,Manual,5300.0,EUR,The Netherlands,1390.0,,unknown,unknown,5300.0
mercedes benz e 200,mercedes,2002,254000.0,,,Diesel,,,Manual,1250.0,EUR,The Netherlands,2148.0,,unknown,unknown,1250.0
toyota avensis 1.8 t27 7 places/zitten,toyota,2009,160000.0,,,Petrol,,,Automatic,6750.0,EUR,The Netherlands,1798.0,,unknown,unknown,6750.0
ford focus 1.6i futura wagon - 7119,ford,2004,227064.0,,,Petrol,,,Manual,1250.0,EUR,The Netherlands,1596.0,,unknown,unknown,1250.0
volkswagen golf v lim. united    wildschaden,volkswagen,0,193560.0,,,Petrol,,,Manual,1690.0,EUR,The Netherlands,1390.0,,unknown,unknown,1690.0
volkswagen t6 bus multivan generation six 4mot  neuer motor,volkswagen,0,145000.0,,,Diesel,,,Automatic,22328.0,EUR,The Netherlands,1968.0,,unknown,unknown,22328.0
mercedes benz g-klasse 400 cdi machtige v8 turbo diesel young timer,mercedes,2005,197841.0,,,Diesel,,,Automatic,31950.0,EUR,The Netherlands,3996.0,,unknown,unknown,31950.0
opel vectra 2.2-16v comfort automaat airco,opel,2002,112991.0,,,Petrol,,,Automatic,3499.0,EUR,The Netherlands,2198.0,,unknown,unknown,3499.0
audi a5 sportback 2.0 tdi / xenon / acc,audi,2015,195613.0,,,Diesel,,,Automatic,14450.0,EUR,The Netherlands,1968.0,,unknown,unknown,14450.0
"mazda 5 1.8 , airco , 7 seats",mazda,2007,281244.0,,,Petrol,,,Manual,1750.0,EUR,The Netherlands,1798.0,,unknown,unknown,1750.0
"renault twingo 1.2 , airco",renault,1999,261305.0,,,Petrol,,,Manual,950.0,EUR,The Netherlands,1149.0,,unknown,unknown,950.0
opel astra 1.6 gl,opel,1999,124409.0,,,Petrol,,,Manual,1399.0,EUR,The Netherlands,1598.0,,unknown,unknown,1399.0
opel corsa 1.2-16v business,opel,2008,174442.0,,,Petrol,,,Manual,3399.0,EUR,The Netherlands,1229.0,,unknown,unknown,3399.0
alfa romeo giulietta 1.7 tbi quadrifoglio verde 240pk (climate control - cruise con...,alfa,2013,115536.0,,,Petrol,,,Manual,14900.0,EUR,The Netherlands,1742.0,,unknown,unknown,14900.0
fiat panda 0.9 twinair young (airco - electr. ramen - radio/cd/mp3),fiat,2014,102554.0,,,Petrol,,,Manual,5950.0,EUR,The Netherlands,964.0,,unknown,unknown,5950.0
"opel vectra b cc , 1.6 16v",opel,1998,264022.0,,,Petrol,,,Manual,1250.0,EUR,The Netherlands,1598.0,,unknown,unknown,1250.0
volkswagen golf 1.6 tdi bm variant,volkswagen,2012,83639.0,,,Diesel,,,Automatic,5450.0,EUR,The Netherlands,1598.0,,unknown,unknown,5450.0
volkswagen transporter 9p dsg,volkswagen,2013,288935.0,,,Diesel,,,Automatic,6950.0,EUR,The Netherlands,1968.0,,unknown,unknown,6950.0
"nissan almera 1.5 slx , airco",nissan,1997,260764.0,,,Petrol,,,Manual,950.0,EUR,The Netherlands,1498.0,,unknown,unknown,950.0
mercedes benz c-klasse lim. c 200 kompressor automatik / navi,mercedes,0,241000.0,,,Petrol,,,Automatic,2700.0,EUR,The Netherlands,1796.0,,unknown,unknown,2700.0
volkswagen tiguan sport & style 4motion,volkswagen,2012,160000.0,,,Diesel,,,Automatic,11750.0,EUR,The Netherlands,1968.0,,unknown,unknown,11750.0
"audi a4 avant, navi, sitzheizung, bussines-paket",audi,0,190302.0,,,Diesel,,,Manual,11700.0,EUR,The Netherlands,1968.0,,unknown,unknown,11700.0
toyota aygo 1.0-12v cool,toyota,2011,198795.0,,,Petrol,,,Manual,2850.0,EUR,The Netherlands,998.0,,unknown,unknown,2850.0
peugeot 308 cc hdi fap 140 premium *ahk*pdc*alu*,peugeot,0,116000.0,,,Diesel,,,Manual,6950.0,EUR,The Netherlands,1997.0,,unknown,unknown,6950.0
suzuki swift 1.0,suzuki,2001,58899.0,,,Petrol,,,Manual,850.0,EUR,The Netherlands,993.0,,unknown,unknown,850.0
"suzuki alto 1.0 , airco",suzuki,2002,177477.0,,,Petrol,,,Manual,950.0,EUR,The Netherlands,1061.0,,unknown,unknown,950.0
"dacia logan 1.5 dci , airco , not running!!",dacia,2007,356852.0,,,Diesel,,,Manual,750.0,EUR,The Netherlands,1461.0,,unknown,unknown,750.0
skoda kodiaq sportline 1.5 tsi dsg navi/trekhaak/stoelverw.,skoda,2020,1013.0,,,Petrol,,,Automatic,47750.0,EUR,The Netherlands,1498.0,,unknown,unknown,47750.0
skoda octavia combi 1.6 tdi greenline ambition businessline diesel kan al bij ...,skoda,2015,78834.0,,,Diesel,,,Manual,13900.0,EUR,The Netherlands,1598.0,,unknown,unknown,13900.0
opel corsa 5-drs 1.4 turbo opc-line,opel,2013,82617.0,,,Petrol,,,Manual,4500.0,EUR,The Netherlands,1400.0,,unknown,unknown,4500.0
opel meriva 1.8-16v cosmo climate 92kw,opel,2004,188429.0,,,Petrol,,,Manual,1250.0,EUR,The Netherlands,1796.0,,unknown,unknown,1250.0
"mazda 5 1.8 touring 7 persoons ,apk juni 2021, climate controle",mazda,2005,273196.0,,,Petrol,,,Manual,2450.0,EUR,The Netherlands,1798.0,,unknown,unknown,2450.0
mazda cx-9 3.7 gt-l lpg g3 7 persoons prachtige auto!,mazda,2008,277116.0,,,LPG,,,Automatic,8500.0,EUR,The Netherlands,3726.0,,unknown,unknown,8500.0
alfa romeo 159 1.9 jts distinctive,alfa,2006,218932.0,,,Petrol,,,Manual,2999.0,EUR,The Netherlands,1859.0,,unknown,unknown,2999.0
ford ecosport 1.0 ecoboost trend 125pk (airco - ml- electr. ramen - radio/cd ...,ford,2015,34416.0,,,Petrol,,,Manual,12700.0,EUR,The Netherlands,998.0,,unknown,unknown,12700.0
nissan x-trail se 4x4,nissan,2011,169000.0,,,Diesel,,,Automatic,9999.0,EUR,The Netherlands,1994.0,,unknown,unknown,9999.0
nissan micra visia,nissan,2009,122000.0,,,Petrol,,,Manual,2950.0,EUR,The Netherlands,1240.0,,unknown,unknown,2950.0
opel signum 3.2 v6 cosmo,opel,2004,296116.0,,,Petrol,,,Manual,999.0,EUR,The Netherlands,3175.0,,unknown,unknown,999.0
peugeot 107 1.0-12v black & silver 5-deurs | airco | alcantara | privacy glass |...,peugeot,2012,137260.0,,,Petrol,,,Manual,4190.0,EUR,The Netherlands,998.0,,unknown,unknown,4190.0
opel corsa 1.0 turbo innovation opc-line | carplay | dealer onderhouden | air...,opel,2017,16246.0,,,Petrol,,,Manual,11990.0,EUR,The Netherlands,999.0,,unknown,unknown,11990.0
audi q5 3.0 tdi v6 s-line s-tronic,audi,2015,121353.0,,,Diesel,,,Automatic,29950.0,EUR,The Netherlands,2967.0,,unknown,unknown,29950.0
bmw 730i oldtimer,bmw,0,272596.0,,,Petrol,,,Automatic,7900.0,EUR,The Netherlands,2986.0,,unknown,unknown,7900.0
mercedes benz e 220 d drive pilot - widescreen,mercedes,0,124237.0,,,Diesel,,,Automatic,23500.0,EUR,The Netherlands,1950.0,,unknown,unknown,23500.0
mini mini 1.6 cooper chili cabrio airco,mini,2004,162192.0,,,Petrol,,,Manual,4650.0,EUR,The Netherlands,1598.0,,unknown,unknown,4650.0
ford transit custom 310l l2 h1 2.0 tdci 130pk trend 9-persoons airco cruise p...,ford,2017,101152.0,,,Diesel,,,Manual,17850.0,EUR,The Netherlands,1997.0,,unknown,unknown,17850.0
bmw 3-serie coupã© 320ci executive,bmw,2001,306681.0,,,Petrol,,,Manual,2200.0,EUR,The Netherlands,2171.0,,unknown,unknown,2200.0
"renault espace tce 200 pk initiale paris, 7 pers.dvd, 1e eigenaar",renault,2017,46551.0,,,Petrol,,,Automatic,32750.0,EUR,The Netherlands,1618.0,,unknown,unknown,32750.0
opel astra 1.6-16v centennial airco 5 deurs,opel,1999,259690.0,,,Petrol,,,Manual,999.0,EUR,The Netherlands,1598.0,,unknown,unknown,999.0
ford focus 1.6-16v ghia,ford,1999,203228.0,,,Petrol,,,Manual,999.0,EUR,The Netherlands,1596.0,,unknown,unknown,999.0
fiat panda 0.9 twinair edizione cool (airco - electr. ramen voor - radio/cd -...,fiat,2014,71882.0,,,Petrol,,,Manual,6840.0,EUR,The Netherlands,964.0,,unknown,unknown,6840.0
mercedes benz citan tourer 1090cdi,mercedes,2016,82000.0,,,Diesel,,,Manual,9900.0,EUR,The Netherlands,1461.0,,unknown,unknown,9900.0
mercedes benz e-klasse e 220 cdi  9-g-tronic led avantgarde,mercedes,0,219000.0,,,Diesel,,,Automatic,11200.0,EUR,The Netherlands,2143.0,,unknown,unknown,11200.0
"volkswagen golf 7 /vii variant trendline bmt 4800,-netto",volkswagen,0,299000.0,,,Diesel,,,Manual,4800.0,EUR,The Netherlands,1598.0,,unknown,unknown,4800.0
"seat alhambra reference 1,4",seat,0,69000.0,,,Petrol,,,Manual,13991.0,EUR,The Netherlands,1395.0,,unknown,unknown,13991.0
"seat ateca 2.0 tdi 110kw 4x4   full link 11200,-netto",seat,0,144000.0,,,Diesel,,,Manual,11200.0,EUR,The Netherlands,1968.0,,unknown,unknown,11200.0
mercedes benz e 200 kompressor t elegance automatic,mercedes,0,225000.0,,,Petrol,,,Automatic,3990.0,EUR,The Netherlands,1796.0,,unknown,unknown,3990.0
mercedes benz e-klasse lim. e 200 kompressor elegance,mercedes,0,181000.0,,,Petrol,,,Automatic,6900.0,EUR,The Netherlands,1796.0,,unknown,unknown,6900.0
volkswagen touareg 3.0 v6 tdi tiptronic bmt navi automatik,volkswagen,0,246000.0,,,Diesel,,,Automatic,11200.0,EUR,The Netherlands,2967.0,,unknown,unknown,11200.0
"volkswagen passat variant 2.0 fsi highline climat,cruise,pdc,stoelverwarming",volkswagen,2006,263952.0,,,Petrol,,,Manual,3250.0,EUR,The Netherlands,1984.0,,unknown,unknown,3250.0
audi a6 lim. 2.5 tdi,audi,0,309400.0,,,Diesel,,,Automatic,790.0,EUR,The Netherlands,2496.0,,unknown,unknown,790.0
mercedes benz sprinter â5600 netto,mercedes,2009,524573.0,,,Diesel,,,Manual,6776.0,EUR,The Netherlands,2148.0,,unknown,unknown,6776.0
mercedes benz c-klasse c 180 exclusive int. & ext. / stoelverwarming / spoorassistent ...,mercedes,2015,90420.0,,,Petrol,,,Automatic,22900.0,EUR,The Netherlands,1595.0,,unknown,unknown,22900.0
mercedes benz v-klasse 250d extra lang avantgarde l3h1 xl camera navigatie cruise cont...,mercedes,2019,25000.0,,,Diesel,,,Automatic,41900.0,EUR,The Netherlands,2143.0,,unknown,unknown,41900.0
mercedes benz v-klasse 250d extra lang avantgarde l3h1 xl camera navigatie cruise cont...,mercedes,2019,26000.0,,,Diesel,,,Automatic,41900.0,EUR,The Netherlands,2143.0,,unknown,unknown,41900.0
"mercedes benz c-klasse 240 ,combi ,",mercedes,1998,341930.0,,,Petrol,,,Automatic,1250.0,EUR,The Netherlands,2398.0,,unknown,unknown,1250.0
saab 9-3 sport sedan 1.9 tid linear,saab,2008,179967.0,,,Diesel,,,Manual,5745.0,EUR,The Netherlands,1910.0,,unknown,unknown,5745.0
audi a6 3.0 tdi (dpf) tiptronic quattro avant,audi,0,381506.0,,,Diesel,,,Automatic,6285.0,EUR,The Netherlands,2967.0,,unknown,unknown,6285.0
skoda rapid spaceback 1.2 tsi greentech edition | navigatie | airco | trekhaak...,skoda,2015,144031.0,,,Petrol,,,Manual,8990.0,EUR,The Netherlands,1197.0,,unknown,unknown,8990.0
toyota land cruiser 90 series,toyota,1999,335490.0,,,Diesel,,,Manual,4500.0,EUR,The Netherlands,2982.0,,unknown,unknown,4500.0
maybach 57 57,maybach,2004,162000.0,,,Petrol,,,Automatic,62500.0,EUR,The Netherlands,5513.0,,unknown,unknown,62500.0
hyundai i20 5 deurs airco prachtige auto,hyundai,2010,200552.0,,,Petrol,,,Manual,3450.0,EUR,The Netherlands,1248.0,,unknown,unknown,3450.0
ford focus wagon 1.6 tdci lease trend prachtige staat apk mei 2021,ford,2014,187091.0,,,Diesel,,,Manual,5999.0,EUR,The Netherlands,1560.0,,unknown,unknown,5999.0
lancia delta 1.4-16v oro,lancia,2009,227599.0,,,Petrol,,,Manual,3500.0,EUR,The Netherlands,1368.0,,unknown,unknown,3500.0
mazda 6 2.0 citd touring ii dealer onderhouden.,mazda,2005,277918.0,,,Diesel,,,Manual,1499.0,EUR,The Netherlands,1998.0,,unknown,unknown,1499.0
skoda octavia combi 1.2 tsi ambition business line apk maart 2021 nette auto,skoda,2010,221251.0,,,Petrol,,,Manual,4250.0,EUR,The Netherlands,1197.0,,unknown,unknown,4250.0
toyota land cruiser prado 150,toyota,2014,140627.0,,,Diesel,,,Automatic,24000.0,EUR,The Netherlands,2982.0,,unknown,unknown,24000.0
toyota land cruiser prado 150,toyota,2014,130000.0,,,Diesel,,,Automatic,24000.0,EUR,The Netherlands,2982.0,,unknown,unknown,24000.0
toyota land cruiser prado 150,toyota,2014,130000.0,,,Diesel,,,Automatic,24000.0,EUR,The Netherlands,2982.0,,unknown,unknown,24000.0
toyota land cruiser prado 150,toyota,2014,130000.0,,,Diesel,,,Automatic,24000.0,EUR,The Netherlands,2982.0,,unknown,unknown,24000.0
