name,mark,year,mileage,engine_power_kW,engine_power_hp,fuel_type,consumption_(l/100 km),ecology_(gCO2/km),gearbox,price,currency,country,engine_size,nr_of_accidents,color_exterior,color_interior,price_eur
volkswagen polo,volkswagen,2007,200000.0,44.0,60.0,Gasoline,,,Manual,1100.0,EUR,Germany,0.0,,unknown,unknown,1100.0
volvo 460,volvo,1996,112000.0,66.0,90.0,Gasoline,,,Automatic,1150.0,EUR,Germany,0.0,,unknown,unknown,1150.0
opel meriva,opel,2005,192800.0,74.0,101.0,Gasoline,7.3,175.0,Manual,1190.0,EUR,Germany,0.0,,unknown,unknown,1190.0
peugeot 206,peugeot,2002,165092.0,80.0,109.0,Gasoline,6.9,166.0,Manual,1199.0,EUR,Germany,0.0,,unknown,unknown,1199.0
mazda 2,mazda,2006,148800.0,59.0,80.0,Gasoline,,,Manual,1200.0,EUR,Germany,0.0,,unknown,unknown,1200.0
mercedes-benz vito,mercedes,2001,250000.0,105.0,143.0,Gasoline,,,Automatic,1200.0,EUR,Germany,0.0,,unknown,unknown,1200.0
opel astra,opel,1996,115000.0,74.0,101.0,Gasoline,,,Manual,1200.0,EUR,Germany,0.0,,unknown,unknown,1200.0
mercedes-benz a 190,mercedes,2001,120670.0,92.0,125.0,Gasoline,8.2,196.0,Automatic,1200.0,EUR,Germany,0.0,,unknown,unknown,1200.0
peugeot 206,peugeot,2003,180000.0,68.0,92.0,Gasoline,6.3,151.0,Manual,1200.0,EUR,Germany,0.0,,unknown,unknown,1200.0
ford fusion,ford,2006,166000.0,59.0,80.0,Gasoline,6.8,162.0,Automatic,1250.0,EUR,Germany,0.0,,unknown,unknown,1250.0
mercedes-benz c 220,mercedes,2004,300000.0,110.0,150.0,Diesel,7.3,194.0,Automatic,1280.0,EUR,Germany,0.0,,unknown,unknown,1280.0
citroen berlingo,citroen,2007,190932.0,55.0,75.0,Diesel,,,Manual,1290.0,EUR,Germany,0.0,,unknown,unknown,1290.0
mazda 6,mazda,2006,245000.0,89.0,121.0,Diesel,6.0,165.0,Manual,1290.0,EUR,Germany,0.0,,unknown,unknown,1290.0
ford fusion,ford,2005,185282.0,59.0,80.0,Gasoline,6.9,155.0,Manual,1290.0,EUR,Germany,0.0,,unknown,unknown,1290.0
opel vectra,opel,2005,196000.0,114.0,155.0,Gasoline,8.2,197.0,Manual,1290.0,EUR,Germany,0.0,,unknown,unknown,1290.0
volkswagen sharan,volkswagen,2003,204000.0,96.0,131.0,Diesel,6.2,167.0,Manual,1300.0,EUR,Germany,0.0,,unknown,unknown,1300.0
mazda 6,mazda,2005,152000.0,122.0,166.0,Gasoline,9.1,218.0,Manual,1300.0,EUR,Germany,0.0,,unknown,unknown,1300.0
kia rio,kia,2003,161000.0,71.0,97.0,Gasoline,7.1,169.0,Manual,1300.0,EUR,Germany,0.0,,unknown,unknown,1300.0
ford fiesta,ford,2007,180000.0,50.0,68.0,Diesel,4.5,119.0,Manual,1300.0,EUR,Germany,0.0,,unknown,unknown,1300.0
audi a4,audi,1996,170000.0,74.0,101.0,Gasoline,8.2,197.0,Manual,1300.0,EUR,Germany,0.0,,unknown,unknown,1300.0
audi a3,audi,2000,230800.0,74.0,101.0,Gasoline,7.8,187.0,Manual,1390.0,EUR,Germany,0.0,,unknown,unknown,1390.0
opel vectra,opel,2005,193000.0,114.0,155.0,Gasoline,,,Manual,1390.0,EUR,Germany,0.0,,unknown,unknown,1390.0
mazda 6,mazda,2007,214000.0,89.0,121.0,Diesel,6.1,167.0,Manual,1399.0,EUR,Germany,0.0,,unknown,unknown,1399.0
mazda 6,mazda,2007,185000.0,105.0,143.0,Diesel,6.1,167.0,Manual,1399.0,EUR,Germany,0.0,,unknown,unknown,1399.0
volkswagen golf cabriolet,volkswagen,2000,170000.0,74.0,101.0,Gasoline,8.0,192.0,Manual,1400.0,EUR,Germany,0.0,,unknown,unknown,1400.0
opel corsa,opel,2001,163799.0,40.0,54.0,Gasoline,5.6,134.0,Manual,1469.0,EUR,Germany,0.0,,unknown,unknown,1469.0
mercedes-benz c 220,mercedes,2002,296000.0,105.0,143.0,Diesel,6.3,167.0,Automatic,1490.0,EUR,Germany,0.0,,unknown,unknown,1490.0
ford mondeo,ford,2006,149799.0,107.0,145.0,Gasoline,9.6,231.0,Automatic,1498.0,EUR,Germany,0.0,,unknown,unknown,1498.0
audi a3,audi,1999,168000.0,92.0,125.0,Gasoline,8.5,204.0,Manual,1499.0,EUR,Germany,0.0,,unknown,unknown,1499.0
ford fiesta,ford,2000,78000.0,44.0,60.0,Gasoline,7.3,173.0,Manual,1499.0,EUR,Germany,0.0,,unknown,unknown,1499.0
volkswagen new beetle,volkswagen,1999,265143.0,66.0,90.0,Diesel,,,Manual,1500.0,EUR,Germany,0.0,,unknown,unknown,1500.0
volvo 850,volvo,1996,325000.0,125.0,170.0,Gasoline,,,Manual,1500.0,EUR,Germany,0.0,,unknown,unknown,1500.0
opel meriva,opel,2006,125011.0,66.0,90.0,Gasoline,6.2,147.0,Manual,1500.0,EUR,Germany,0.0,,unknown,unknown,1500.0
volkswagen golf,volkswagen,2002,180965.0,55.0,75.0,Gasoline,6.8,163.0,Manual,1580.0,EUR,Germany,0.0,,unknown,unknown,1580.0
toyota corolla verso,toyota,2005,316207.0,66.0,90.0,Diesel,6.2,164.0,Manual,1590.0,EUR,Germany,0.0,,unknown,unknown,1590.0
mercedes-benz a 160,mercedes,2001,200000.0,75.0,102.0,Gasoline,7.2,172.0,Semi-automatic,1600.0,EUR,Germany,0.0,,unknown,unknown,1600.0
opel astra,opel,2005,130200.0,66.0,90.0,Gasoline,6.3,149.0,Manual,1650.0,EUR,Germany,0.0,,unknown,unknown,1650.0
volkswagen jetta,volkswagen,1987,135000.0,66.0,90.0,Gasoline,,,Manual,1690.0,EUR,Germany,0.0,,unknown,unknown,1690.0
volkswagen touran,volkswagen,2003,243000.0,74.0,101.0,Diesel,5.9,156.0,Manual,1699.0,EUR,Germany,0.0,,unknown,unknown,1699.0
