name;year;mileage;capacity;fuel;other;price;currency
Mercedes-Benz GLC 63 AMG S Coupe 9G Tronic (510KM) Promocyjny Leasing 101%!;2019;10 km;3982 cm33;Petrol;[];445000.0;PLN
Mercedes-Benz GLE 350d 4Matic 9G Tronic (272KM) Promocyjny leasing 100%!;2019;5 km;2925 cm33;Diesel;[];364500.0;PLN
"Mercedes-Benz Klasa B ""Promocyjny leasing 101%""";2019;5 km;1332 cm33;Petrol;[];128800.0;PLN
Mercedes-Benz Klasa B 180d 7G DCT (116KM) Wyprzedaø 2019 Leasing 100%;2019;1 km;1461 cm33;Petrol;[];127317.0;PLN
Mercedes-Benz Klasa B Promocyjny Leasing 100%, Wyprzedaø 2019!;2019;5 km;1494 cm33;Diesel;[];126867.0;PLN
Mercedes-Benz Klasa B 180d 7G DCT (116KM) Wyprzedaø 2019 lub 1% MajÛwka!;2019;10 km;1461 cm33;Diesel;[];127453.0;PLN
Mercedes-Benz Klasa B 180d 7G DCT (116KM) Wyprzedaø 2019;2019;5 km;1461 cm33;Diesel;[];125526.0;PLN
BMW M5 Alpina B5 E60 SUPERCHARGED nr 204/428 OKAZJA!!!;2006;60500 km;4400 cm33;Petrol;[];159900.0;PLN
Mercedes-Benz GLE GLE450 SUV 4Matic, Promocyjny leasing 100%!;2019;5 km;2999 cm33;Petrol;[];414125.0;PLN
Mercedes-Benz CLA CLA200 Shooting Brake,Promocyjny Leasing 100%, Wyprzedaø w ASO;2019;163 km;1332 cm33;Petrol;[];146600.0;PLN
Mercedes-Benz GLC GLC 63s AMG, 510KM, Promocyjny Leasing 101%;2019;1 km;3982 cm33;Petrol;[];444792.0;PLN
Mercedes-Benz Klasa C Mercedes C200 4Matic, demo dealera, AKCJA SPECJALNA;2019;11500 km;1497 cm33;Petrol;[];207530.0;PLN
Mercedes-Benz GLS GLS350d, demo dealera, AKCJA SPECJALNA;2019;9900 km;2987 cm33;Diesel;[];371387.0;PLN
Mercedes-Benz Klasa E E400d Coupe 4Matic, Nowy Rocznik 2020!;2020;5 km;2925 cm33;Diesel;[];421600.0;PLN
V‰derstad Carrier 650  Brona talerzowa Vaderstad Carrier 650;1900;0;0;;[];42000.0;PLN
Alfa Romeo Giulia GIULIA 2,0 280 KM AT8 Q4 Veloce nowa Seria 2020.;2019;1 km;1995 cm33;Petrol;[];199900.0;PLN
Skuter Elektryczny EcoScootíy City 1.5 z homologacjπ EU;2020;1 km;0;;['Touring'];3999.0;PLN
MAZDA 6 II GH LIFT lampa LEWA XENON Z PRZETWORNIC• KOMPLET 08-12 EU! Ksenon!;0;0;0;;['Mazda', 'Nadwozie i oúwietlenie'];350.0;PLN
Case 888  Koparka ko≥owa Case 888;1900;0;0;;[];32500.0;PLN
Fiat 500X CROSS 1.0 120KM RP2020;2020;1 km;999 cm33;Petrol;[];84550.0;PLN
Mercedes-Benz GLC AMG 63S coupe *cesja leasing 24 miesiπce* folia, pow≥oka, gw. 4 lata;2019;9500 km;3982 cm33;Petrol;[];399000.0;PLN
Renault Master 2.3 Dci Maxi Skrzynia DOKA 7 Osobowy TYLKO 55 tys km  Master 2.3 Dci Maxi Skrzynia 7 Osobowy TYLKO 55 tys km;2015;55123 km;2300 cm33;;['Master 2.3 Dci Maxi Skrzynia DOKA 7 Osobowy TYLKO 55 tys km '];44900.0;PLN
äkoda Citigo iV Wersja FULL OD R KI ***CESJA leasingu*** GWARANCJA 4 lata;2019;2200 km;0;;['EV'];79000.0;PLN
Audi A8 Oú skrÍtna pakiet skÛrzany pakiet chrom pojedyncze fotele;2018;51195 km;2995 cm33;Petrol;[];344900.0;PLN
Suzuki Marauder Zadbany. PrzepiÍkny. Marauder.;2000;28700 km;805 cm33;;['Chopper'];14900.0;PLN
Kia Sportage Kia Sportage 2.0 CRDI 140 KM 4x4 serwis ASO GWARANCJA;2009;165666 km;1995 cm33;Diesel;[];22666.0;PLN
Chevrolet Captiva 7 osÛb Salon Polska 1 w≥ nawigacja kupiona w 2014 automat;2014;107000 km;2231 cm33;Diesel;[];45500.0;PLN
CitroÎn Jumpy Combi faktura VAT marza;2017;56000 km;0;Diesel;[];45000.0;PLN
Volkswagen Polo faktura VAT marza;2015;106000 km;0;Diesel;[];27800.0;PLN
LAND ROVER FREELANDER I REFLEKTORY PRAWY i LEWY WERSJA EU 1997-2006;0;0;0;;['Land Rover', 'Nadwozie i oúwietlenie'];350.0;PLN
Iveco Daily 35c17  Doka 7 osobowy webasto 170 KM Faktura VAT Polecam;2011;306000 km;2998 cm33;;['Daily 35c17 '];40000.0;PLN
Schaffer 5058z  £adowarka schaffer 5058Z;2011;0;0;;[];67500.0;PLN
BMW Seria 4 bmw 430i x drive, Salon PL;2016;92000 km;1999 cm33;Petrol;[];112000.0;PLN
Fiat Bravo Fiat bravo, gaz zamontowany W 08/2017 WAØNA HOMOL. KLIMA OKAZJA Polska;2009;159492 km;1368 cm33;Petrol+LPG;[];15900.0;PLN
BMW Seria 3 Zamiana E30 2.8 N52B28 Zbudowana od podstaw, szpera p≥ytkowa;1988;1000 km;2494 cm33;Petrol;[];20999.0;PLN
Opel Vectra Lift 2.0 TURBO 175PS GTS Xenon SkÛra Klima alu ZOBACZ!!!;2007;235000 km;1998 cm33;Petrol;[];15900.0;PLN
Wiola  Przyczepa burtowa, ciÍøarowa;2015;0;0;;[];8300.0;PLN
BMW Seria 5 2015r.525d xDrive 218kM Automat Panorama Hak Salon Pl FV 23% I RÍka;2015;200000 km;1995 cm33;Diesel;[];68888.0;PLN
Nissan Qashqai 1.6 Benzyna! Nawigacja !Bezwypadkowy!Manual! Serwis ASO! Op≥acony!;2011;169000 km;1600 cm33;Petrol;[];33900.0;PLN
Chrysler 200 CABRIO COUPE, 3.6 benzyna, Limited, 100% oryginalny przebieg!!;2013;11000 km;3604 cm33;Petrol;[];54999.0;PLN
Audi Q3 AudiQ3/salonPL/model2012/cena brutto/faktura VAT23% bezpoúr.od w≥aúcic;2011;263000 km;1984 cm33;Petrol;[];47074.0;PLN
JCB 436 HT 426  caterpillar 924k 930 hitachi lx170 na PE£NE KO£A do recyklingu;2002;0;0;;[];84000.0;PLN
Doosan DX300LC 2013 dx 300 LC-3  Leasing 103% jak 30 ton volvo ec300 , cat 329 ,;2013;0;0;;[];299000.0;PLN
