name,mark,year,mileage,engine_power,fuel,consumption,ecology,gearbox,country,engine_size,accidents,exterior,interior,price
mercedes-benz a 190,mercedes,2001,120670.0,0.20593368237347295,Gasoline,8.2,196.0,Automatic,Germany,0.0,0.20593368237347295,unknown,unknown,1200.0
peugeot 206,peugeot,2003,180000.0,0.20593368237347295,Gasoline,6.3,151.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,1200.0
ford fusion,ford,2006,166000.0,0.20593368237347295,Gasoline,6.8,162.0,Automatic,Germany,0.0,0.20593368237347295,unknown,unknown,1250.0
mercedes-benz c 220,mercedes,2004,300000.0,0.20593368237347295,Diesel,7.3,194.0,Automatic,Germany,0.0,0.20593368237347295,unknown,unknown,1280.0
citroen berlingo,citroen,2007,190932.0,0.20593368237347295,Diesel,6.65,162.9596214511041,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,1290.0
mazda 6,mazda,2006,245000.0,0.20593368237347295,Diesel,6.0,165.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,1290.0
ford fusion,ford,2005,185282.0,0.20593368237347295,Gasoline,6.9,155.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,1290.0
opel vectra,opel,2005,196000.0,0.20593368237347295,Gasoline,8.2,197.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,1290.0
volkswagen sharan,volkswagen,2003,204000.0,0.20593368237347295,Diesel,6.2,167.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,1300.0
mazda 6,mazda,2005,152000.0,0.20593368237347295,Gasoline,9.1,218.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,1300.0
kia rio,kia,2003,161000.0,0.20593368237347295,Gasoline,7.1,169.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,1300.0
ford fiesta,ford,2007,180000.0,0.20593368237347295,Diesel,4.5,119.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,1300.0
audi a4,audi,1996,170000.0,0.20593368237347295,Gasoline,8.2,197.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,1300.0
audi a3,audi,2000,230800.0,0.20593368237347295,Gasoline,7.8,187.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,1390.0
opel vectra,opel,2005,193000.0,0.20593368237347295,Gasoline,6.65,162.9596214511041,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,1390.0
mazda 6,mazda,2007,214000.0,0.20593368237347295,Diesel,6.1,167.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,1399.0
mazda 6,mazda,2007,185000.0,0.20593368237347295,Diesel,6.1,167.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,1399.0
volkswagen golf cabriolet,volkswagen,2000,170000.0,0.20593368237347295,Gasoline,8.0,192.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,1400.0
opel corsa,opel,2001,163799.0,0.20593368237347295,Gasoline,5.6,134.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,1469.0
mercedes-benz c 220,mercedes,2002,296000.0,0.20593368237347295,Diesel,6.3,167.0,Automatic,Germany,0.0,0.20593368237347295,unknown,unknown,1490.0
ford mondeo,ford,2006,149799.0,0.20593368237347295,Gasoline,9.6,231.0,Automatic,Germany,0.0,0.20593368237347295,unknown,unknown,1498.0
audi a3,audi,1999,168000.0,0.20593368237347295,Gasoline,8.5,204.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,1499.0
ford fiesta,ford,2000,78000.0,0.20593368237347295,Gasoline,7.3,173.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,1499.0
volkswagen new beetle,volkswagen,1999,265143.0,0.20593368237347295,Diesel,6.65,162.9596214511041,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,1500.0
volvo 850,volvo,1996,325000.0,0.20593368237347295,Gasoline,6.65,162.9596214511041,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,1500.0
opel meriva,opel,2006,125011.0,0.20593368237347295,Gasoline,6.2,147.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,1500.0
volkswagen golf,volkswagen,2002,180965.0,0.20593368237347295,Gasoline,6.8,163.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,1580.0
toyota corolla verso,toyota,2005,316207.0,0.20593368237347295,Diesel,6.2,164.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,1590.0
mercedes-benz a 160,mercedes,2001,200000.0,0.20593368237347295,Gasoline,7.2,172.0,Semi-automatic,Germany,0.0,0.20593368237347295,unknown,unknown,1600.0
opel astra,opel,2005,130200.0,0.20593368237347295,Gasoline,6.3,149.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,1650.0
volkswagen jetta,volkswagen,1987,135000.0,0.20593368237347295,Gasoline,6.65,162.9596214511041,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,1690.0
volkswagen touran,volkswagen,2003,243000.0,0.20593368237347295,Diesel,5.9,156.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,1699.0
opel astra,opel,1999,178744.0,0.20593368237347295,Gasoline,6.65,162.9596214511041,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,1699.0
ford fiesta,ford,2001,103000.0,0.20593368237347295,Gasoline,7.5,175.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,1699.0
opel vectra,opel,2005,217500.0,0.20593368237347295,Diesel,7.0,189.0,Automatic,Germany,0.0,0.20593368237347295,unknown,unknown,1700.0
mercedes-benz e 200,mercedes,1999,303000.0,0.20593368237347295,Gasoline,9.6,228.0,Automatic,Germany,0.0,0.20593368237347295,unknown,unknown,1750.0
opel astra,opel,1999,198900.0,0.20593368237347295,Gasoline,7.1,171.0,Automatic,Germany,0.0,0.20593368237347295,unknown,unknown,1750.0
ford focus,ford,2009,250000.0,0.20593368237347295,Diesel,4.5,119.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,1750.0
land rover range rover,rover,1998,436244.0,0.20593368237347295,Diesel,10.3,248.9,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,1790.0
peugeot 406,peugeot,1998,199000.0,0.20593368237347295,LPG,6.65,162.9596214511041,Automatic,Germany,0.0,0.20593368237347295,unknown,unknown,1799.0
renault laguna,renault,2001,219000.0,0.20593368237347295,Gasoline,10.1,240.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,1800.0
opel astra,opel,2005,181248.0,0.20593368237347295,Diesel,5.0,135.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,1840.0
toyota corolla verso,toyota,2006,258000.0,0.20593368237347295,Diesel,6.4,170.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,1850.0
chevrolet matiz,chevrolet,2009,70000.0,0.20593368237347295,Gasoline,5.2,127.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,1875.0
peugeot 307,peugeot,2003,207320.0,0.20593368237347295,Gasoline,7.7,178.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,1890.0
ford ka/ka+,ford,2002,52000.0,0.20593368237347295,Gasoline,6.8,165.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,1899.0
peugeot 207,peugeot,2009,209204.0,0.20593368237347295,Diesel,4.9,120.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,1900.0
smart fortwo,smart,2005,150000.0,0.20593368237347295,Diesel,3.8,101.0,Automatic,Germany,0.0,0.20593368237347295,unknown,unknown,1900.0
mini one,mini,2006,230000.0,0.20593368237347295,Gasoline,6.8,164.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,1900.0
mercedes-benz c 220,mercedes,2003,408000.0,0.20593368237347295,Diesel,7.3,194.0,Automatic,Germany,0.0,0.20593368237347295,unknown,unknown,1950.0
ford fiesta,ford,2012,260000.0,0.20593368237347295,Diesel,6.65,162.9596214511041,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,1980.0
renault twingo,renault,1999,86600.0,0.20593368237347295,Gasoline,7.0,166.0,Automatic,Germany,0.0,0.20593368237347295,unknown,unknown,1980.0
ford streetka,ford,2003,180000.0,0.20593368237347295,Gasoline,7.9,189.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,1990.0
volkswagen golf,volkswagen,2001,199894.0,0.20593368237347295,Diesel,6.65,162.9596214511041,Automatic,Germany,0.0,0.20593368237347295,unknown,unknown,1990.0
opel astra,opel,2004,146200.0,0.20593368237347295,Gasoline,8.4,202.0,Automatic,Germany,0.0,0.20593368237347295,unknown,unknown,1990.0
ford focus,ford,2007,165000.0,0.20593368237347295,Diesel,4.8,127.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,1990.0
mitsubishi carisma,mitsubishi,1997,110000.0,0.20593368237347295,Gasoline,6.65,162.9596214511041,Automatic,Germany,0.0,0.20593368237347295,unknown,unknown,1990.0
mercedes-benz c 320,mercedes,2002,337000.0,0.20593368237347295,LPG,11.5,273.0,Automatic,Germany,0.0,0.20593368237347295,unknown,unknown,1995.0
peugeot 206,peugeot,2004,90000.0,0.20593368237347295,Gasoline,6.3,149.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,1999.0
volkswagen caddy,volkswagen,2005,330000.0,0.20593368237347295,Diesel,6.1,167.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,1999.0
mercedes-benz clk 200,mercedes,2000,214000.0,0.20593368237347295,Gasoline,9.4,222.0,Automatic,Germany,0.0,0.20593368237347295,unknown,unknown,1999.0
citroen c2,citroen,2007,100000.0,0.20593368237347295,Gasoline,6.0,143.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,1999.0
audi a3,audi,1999,250000.0,0.20593368237347295,Gasoline,8.7,209.0,Automatic,Germany,0.0,0.20593368237347295,unknown,unknown,1999.0
bmw 520,bmw,2001,249000.0,0.20593368237347295,Gasoline,9.5,228.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,1999.0
bmw 318,bmw,2002,210000.0,0.20593368237347295,Gasoline,7.6,185.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,1999.0
hyundai i30,hyundai,2008,217300.0,0.20593368237347295,Diesel,5.0,128.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,2000.0
volkswagen polo,volkswagen,2005,160000.0,0.20593368237347295,Gasoline,5.8,139.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,2000.0
opel vectra,opel,2003,72900.0,0.20593368237347295,Gasoline,7.9,190.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,2100.0
dacia sandero,dacia,2009,159000.0,0.20593368237347295,Gasoline,7.0,166.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,2190.0
toyota aygo,toyota,2010,204000.0,0.20593368237347295,Gasoline,4.6,106.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,2200.0
ford fiesta,ford,2008,158225.0,0.20593368237347295,Gasoline,6.2,147.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,2280.0
mercedes-benz e 320,mercedes,2001,310000.0,0.20593368237347295,Diesel,7.8,207.0,Automatic,Germany,0.0,0.20593368237347295,unknown,unknown,2280.0
peugeot 307,peugeot,2006,239887.0,0.20593368237347295,Diesel,5.1,134.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,2290.0
ford transit connect,ford,2007,258200.0,0.20593368237347295,Diesel,6.7,166.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,2380.0
volkswagen golf,volkswagen,2008,265900.0,0.20593368237347295,Diesel,5.3,140.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,2400.0
mazda tribute,mazda,2002,188500.0,0.20593368237347295,Gasoline,9.7,230.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,2400.0
renault megane,renault,2005,220031.0,0.20593368237347295,Gasoline,8.2,196.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,2400.0
renault kangoo,renault,1999,122171.0,0.20593368237347295,Diesel,7.5,177.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,2449.0
volkswagen polo,volkswagen,2005,177000.0,0.20593368237347295,Gasoline,5.8,139.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,2450.0
audi a2,audi,2001,171000.0,0.20593368237347295,Diesel,4.3,116.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,2450.0
volkswagen touran,volkswagen,2003,208965.0,0.20593368237347295,Gasoline,7.4,175.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,2450.0
audi a6,audi,2006,404000.0,0.20593368237347295,Diesel,6.65,162.9596214511041,Automatic,Germany,0.0,0.20593368237347295,unknown,unknown,2490.0
fiat grande punto,fiat,2008,143266.0,0.20593368237347295,Gasoline,5.9,139.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,2490.0
mazda 2,mazda,2008,196779.0,0.20593368237347295,Gasoline,5.4,129.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,2490.0
volkswagen golf,volkswagen,2000,113980.0,0.20593368237347295,Gasoline,6.8,163.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,2490.0
chevrolet nubira,chevrolet,2007,206050.0,0.20593368237347295,LPG,7.4,181.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,2490.0
volvo c70,volvo,2001,193689.0,0.20593368237347295,LPG,10.6,253.0,Automatic,Germany,0.0,0.20593368237347295,unknown,unknown,2490.0
nissan micra,nissan,2005,126381.0,0.20593368237347295,Gasoline,5.9,143.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,2490.0
suzuki grand vitara,suzuki,2005,264000.0,0.20593368237347295,Diesel,7.3,198.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,2490.0
citroen c8,citroen,2006,177853.0,0.20593368237347295,Diesel,7.0,186.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,2490.0
volkswagen fox,volkswagen,2006,107300.0,0.20593368237347295,Gasoline,6.2,148.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,2490.0
kia sportage,kia,2005,198400.0,0.20593368237347295,Diesel,6.65,162.9596214511041,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,2490.0
citroen c3,citroen,2010,168000.0,0.20593368237347295,Gasoline,6.0,137.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,2499.0
hyundai i10,hyundai,2010,144000.0,0.20593368237347295,Gasoline,5.2,124.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,2499.0
volkswagen golf,volkswagen,2000,163000.0,0.20593368237347295,Gasoline,7.0,168.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,2499.0
renault laguna,renault,2007,200000.0,0.20593368237347295,Diesel,6.0,159.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,2499.0
ford fiesta,ford,2006,63000.0,0.20593368237347295,Gasoline,5.9,140.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,2499.0
mercedes-benz c 200,mercedes,2001,134764.0,0.20593368237347295,Gasoline,9.5,227.0,Automatic,Germany,0.0,0.20593368237347295,unknown,unknown,2500.0
mercedes-benz a 180,mercedes,2009,213700.0,0.20593368237347295,Diesel,6.1,159.0,Automatic,Germany,0.0,0.20593368237347295,unknown,unknown,2650.0
mini one,mini,2010,82000.0,0.20593368237347295,Gasoline,5.3,128.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,2650.0
audi a4,audi,2005,216640.0,0.20593368237347295,Diesel,5.6,151.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,2690.0
opel corsa,opel,2009,45000.0,0.20593368237347295,Gasoline,5.7,137.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,2750.0
volkswagen jetta,volkswagen,2007,300000.0,0.20593368237347295,Diesel,4.9,148.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,2777.0
skoda octavia,skoda,2007,196935.0,0.20593368237347295,Diesel,5.4,143.0,Manual,Germany,0.0,0.20593368237347295,unknown,unknown,2790.0
